epoch,train_loss,train_acc,val_loss,val_acc,lr,time
1,18.4713,0.1590,16.9742,0.1753,0.001000,0.12
2,16.4076,0.2184,15.9301,0.2354,0.001000,0.10
3,15.7084,0.3104,15.3889,0.3847,0.001000,0.13
4,15.3252,0.3936,15.1116,0.5049,0.001000,0.13
5,14.9882,0.4900,14.8086,0.4643,0.001000,0.18
6,14.6950,0.4842,14.5232,0.5146,0.001000,0.14
7,14.4029,0.5126,14.2392,0.5308,0.001000,0.34
8,14.1168,0.5420,13.9517,0.5568,0.001000,0.18
9,13.8240,0.5438,13.6650,0.5519,0.001000,0.13
10,13.5377,0.5714,13.3826,0.5795,0.001000,0.14
11,13.2573,0.5613,13.1171,0.5828,0.001000,0.23
12,12.9916,0.5784,12.8573,0.5779,0.001000,0.17
13,12.7247,0.5917,12.5932,0.5974,0.001000,0.13
14,12.4557,0.5889,12.3113,0.5909,0.001000,0.19
15,12.1586,0.6112,12.0062,0.6006,0.001000,0.14
16,11.8305,0.6090,11.6674,0.6023,0.001000,0.15
17,11.4823,0.6408,11.3117,0.6088,0.001000,0.13
18,11.0967,0.6467,10.9273,0.6299,0.001000,0.14
19,10.7002,0.6813,10.5056,0.6640,0.001000,0.14
20,10.2591,0.6904,10.0727,0.6656,0.001000,0.12
21,9.7371,0.7034,9.4578,0.7094,0.001000,0.12
22,9.5035,0.7155,9.4146,0.7224,0.001000,0.13
23,8.8364,0.7449,8.7187,0.7386,0.001000,0.13
24,8.4868,0.7576,8.8586,0.7127,0.001000,0.23
25,8.1693,0.7723,8.4985,0.7289,0.001000,0.16
26,7.8077,0.7757,8.5464,0.7256,0.001000,0.12
27,7.7428,0.7822,8.0425,0.7500,0.001000,0.13
28,7.4499,0.7950,7.8650,0.7597,0.001000,0.14
29,7.2357,0.8007,7.9207,0.7597,0.001000,0.14
30,7.0885,0.8093,7.6483,0.7744,0.001000,0.15
31,6.8404,0.8150,7.5500,0.7727,0.001000,0.15
32,6.7851,0.8226,7.4361,0.7630,0.001000,0.15
33,6.6061,0.8252,7.5154,0.7662,0.001000,0.13
34,6.6388,0.8202,7.4151,0.7662,0.001000,0.13
35,6.5859,0.8246,7.3272,0.7825,0.001000,0.15
36,6.5123,0.8238,7.2036,0.7808,0.001000,0.13
37,6.3821,0.8299,7.3502,0.7776,0.001000,0.15
38,6.3110,0.8327,7.1851,0.7873,0.001000,0.20
39,6.2846,0.8339,7.1564,0.7922,0.001000,0.14
40,6.1334,0.8416,7.0682,0.7825,0.001000,0.14
41,6.0461,0.8432,6.9943,0.7971,0.001000,0.14
42,5.9347,0.8428,6.9872,0.7825,0.001000,0.14
43,5.8408,0.8476,7.0255,0.7841,0.001000,0.12
44,5.7582,0.8518,7.0734,0.7873,0.001000,0.15
45,5.6720,0.8506,7.0061,0.7922,0.001000,0.13
46,5.6616,0.8556,7.0652,0.7890,0.001000,0.13
47,5.5877,0.8569,6.7586,0.8019,0.000500,0.12
48,5.4675,0.8571,6.7302,0.8084,0.000500,0.13
49,5.4529,0.8609,6.7229,0.8019,0.000500,0.13
50,5.4267,0.8617,6.7075,0.8036,0.000500,0.10
51,5.3540,0.8625,6.7944,0.7906,0.000500,0.10
52,5.3772,0.8645,6.7210,0.8084,0.000500,0.18
53,5.2929,0.8671,6.7378,0.8003,0.000500,0.13
54,5.2717,0.8633,6.6987,0.7955,0.000500,0.14
55,5.2112,0.8665,6.6730,0.7987,0.000500,0.14
56,5.2085,0.8681,6.6659,0.7955,0.000500,0.12
57,5.1803,0.8701,6.7182,0.8036,0.000500,0.12
58,5.2049,0.8685,6.6623,0.8052,0.000500,0.13
59,5.1636,0.8711,6.6279,0.8084,0.000500,0.11
60,5.1349,0.8699,6.6710,0.8133,0.000500,0.15
61,5.1034,0.8695,6.6410,0.8133,0.000500,0.12
62,5.0605,0.8724,6.6705,0.8036,0.000500,0.13
63,5.0621,0.8734,6.6240,0.8084,0.000500,0.13
64,4.9872,0.8746,6.5997,0.8084,0.000500,0.13
65,4.9188,0.8776,6.6526,0.8084,0.000500,0.14
66,4.9360,0.8776,6.6813,0.8117,0.000500,0.11
67,4.9167,0.8760,6.6069,0.8084,0.000500,0.17
68,4.8941,0.8776,6.6386,0.8149,0.000500,0.16
69,4.8861,0.8792,6.6651,0.8019,0.000250,0.15
70,4.8524,0.8780,6.5939,0.8052,0.000250,0.15
71,4.8156,0.8796,6.5693,0.8166,0.000250,0.18
72,4.8013,0.8804,6.5566,0.8084,0.000250,0.13
73,4.7721,0.8790,6.5916,0.8068,0.000250,0.12
74,4.7587,0.8810,6.5388,0.8068,0.000250,0.21
75,4.7493,0.8816,6.4982,0.8182,0.000250,0.12
76,4.7465,0.8796,6.6044,0.8182,0.000250,0.11
77,4.7439,0.8812,6.5103,0.8117,0.000250,0.12
78,4.7152,0.8832,6.5445,0.8133,0.000250,0.12
79,4.7007,0.8816,6.5787,0.8052,0.000250,0.30
80,4.6776,0.8844,6.4956,0.8133,0.000125,0.17
81,4.6660,0.8830,6.5448,0.8084,0.000125,0.16
82,4.6544,0.8830,6.4950,0.8182,0.000125,0.12
83,4.6382,0.8852,6.5346,0.8084,0.000125,0.13
84,4.6401,0.8834,6.4904,0.8166,0.000125,0.12
85,4.6183,0.8846,6.5126,0.8117,0.000125,0.11
86,4.6105,0.8854,6.4871,0.8166,0.000125,0.12
87,4.6058,0.8848,6.5176,0.8149,0.000125,0.11
88,4.6062,0.8846,6.4931,0.8133,0.000125,0.16
89,4.5968,0.8856,6.5156,0.8149,0.000125,0.14
90,4.5865,0.8852,6.5212,0.8117,0.000125,0.14
91,4.5809,0.8879,6.5001,0.8166,0.000063,0.13
92,4.5698,0.8850,6.4947,0.8117,0.000063,0.12
93,4.5628,0.8852,6.5078,0.8149,0.000063,0.12
