epoch,train_loss,train_acc,val_loss,val_acc,lr,time
1,15.0930,0.1685,14.4109,0.1640,0.001000,0.14
2,13.4016,0.2728,12.2366,0.2776,0.001000,0.12
3,12.2879,0.2869,12.2742,0.2776,0.001000,0.11
4,12.0098,0.3843,11.8500,0.3669,0.001000,0.12
5,11.7785,0.4319,11.6428,0.4919,0.001000,0.11
6,11.5514,0.5128,11.4673,0.5179,0.001000,0.13
7,11.3701,0.5239,11.2862,0.5341,0.001000,0.35
8,11.1811,0.5520,11.0605,0.5633,0.001000,0.13
9,10.9353,0.5659,10.8225,0.5649,0.001000,0.14
10,10.6494,0.5800,10.4881,0.5909,0.001000,0.11
11,10.2652,0.6026,10.0190,0.6006,0.001000,0.13
12,9.6974,0.6213,9.2756,0.6169,0.001000,0.13
13,8.7852,0.6509,8.3947,0.6299,0.001000,0.13
14,8.0457,0.6823,8.2020,0.6510,0.001000,0.12
15,7.6650,0.7091,7.4630,0.7029,0.001000,0.16
16,7.0897,0.7274,7.1012,0.7127,0.001000,0.14
17,6.6916,0.7461,6.9117,0.7224,0.001000,0.13
18,6.5398,0.7526,6.6984,0.7370,0.001000,0.16
19,6.1884,0.7644,6.5312,0.7516,0.001000,0.14
20,6.0077,0.7791,6.4661,0.7597,0.001000,0.14
21,5.8444,0.7840,6.0345,0.7565,0.001000,0.22
22,5.4735,0.8003,6.0134,0.7776,0.001000,0.16
23,5.2476,0.8134,5.8672,0.7727,0.001000,0.12
24,5.0538,0.8277,5.7238,0.7695,0.001000,0.14
25,5.0049,0.8279,5.9473,0.7744,0.001000,0.13
26,4.9198,0.8293,5.9551,0.7857,0.001000,0.13
27,4.7995,0.8357,5.6629,0.7792,0.001000,0.13
28,4.6043,0.8430,5.6563,0.7711,0.001000,0.17
29,4.5193,0.8462,5.6181,0.7906,0.001000,0.14
30,4.4794,0.8496,5.5985,0.7792,0.001000,0.14
31,4.5478,0.8448,5.6985,0.7890,0.001000,0.15
32,4.6143,0.8395,5.5751,0.7938,0.001000,0.12
33,4.4814,0.8460,5.6019,0.7955,0.001000,0.13
34,4.3625,0.8524,5.5804,0.7873,0.001000,0.12
35,4.2509,0.8627,5.3755,0.8052,0.001000,0.15
36,4.0725,0.8611,5.3638,0.7971,0.001000,0.15
37,4.0255,0.8643,5.4225,0.7987,0.001000,0.13
38,4.0000,0.8659,5.4850,0.8052,0.001000,0.14
39,4.0316,0.8661,5.3913,0.8084,0.001000,0.11
40,3.9056,0.8673,5.5897,0.7776,0.001000,0.11
41,3.8627,0.8760,5.2992,0.8019,0.000500,0.13
42,3.7424,0.8774,5.1420,0.8263,0.000500,0.14
43,3.6682,0.8778,5.2014,0.8068,0.000500,0.18
44,3.7012,0.8774,5.3240,0.8052,0.000500,0.14
45,3.6969,0.8774,5.2913,0.7987,0.000500,0.16
46,3.5894,0.8792,5.2613,0.8052,0.000500,0.14
47,3.5668,0.8834,5.2149,0.8052,0.000250,0.14
48,3.5131,0.8826,5.1427,0.8166,0.000250,0.13
49,3.4985,0.8860,5.1861,0.8084,0.000250,0.11
