epoch,train_loss,train_acc,val_loss,val_acc,lr,time
1,2.2226,0.2146,2.0331,0.3750,0.050000,0.11
2,1.9147,0.4455,1.7973,0.4692,0.050000,0.07
3,1.7136,0.4967,1.6127,0.5795,0.050000,0.07
4,1.5462,0.5675,1.4830,0.5390,0.050000,0.07
5,1.4304,0.5629,1.3758,0.6088,0.050000,0.07
6,1.3373,0.6080,1.2944,0.6006,0.050000,0.09
7,1.2596,0.6062,1.2280,0.6477,0.050000,0.29
8,1.1952,0.6551,1.1751,0.6396,0.050000,0.09
9,1.1410,0.6563,1.1263,0.6623,0.050000,0.08
10,1.0952,0.6704,1.0893,0.6737,0.050000,0.08
11,1.0560,0.6926,1.0588,0.6737,0.050000,0.08
12,1.0214,0.6946,1.0233,0.6948,0.050000,0.09
13,0.9883,0.7093,0.9957,0.6932,0.050000,0.09
14,0.9616,0.7155,0.9704,0.6981,0.050000,0.07
15,0.9385,0.7171,0.9545,0.6981,0.050000,0.09
16,0.9165,0.7276,0.9329,0.7143,0.050000,0.07
17,0.8930,0.7395,0.9122,0.7224,0.050000,0.07
18,0.8690,0.7489,0.8960,0.7192,0.050000,0.09
19,0.8525,0.7528,0.8825,0.7208,0.050000,0.11
20,0.8347,0.7620,0.8646,0.7338,0.050000,0.09
21,0.8178,0.7616,0.8535,0.7468,0.050000,0.07
22,0.8024,0.7691,0.8426,0.7419,0.050000,0.12
23,0.7900,0.7719,0.8308,0.7451,0.050000,0.09
24,0.7768,0.7769,0.8211,0.7403,0.050000,0.11
25,0.7660,0.7741,0.8083,0.7435,0.050000,0.08
26,0.7516,0.7830,0.8008,0.7516,0.050000,0.07
27,0.7392,0.7824,0.7903,0.7597,0.050000,0.08
28,0.7307,0.7910,0.7873,0.7500,0.050000,0.06
29,0.7210,0.7896,0.7764,0.7614,0.050000,0.07
30,0.7087,0.7948,0.7695,0.7549,0.050000,0.07
31,0.6992,0.7975,0.7604,0.7679,0.050000,0.08
32,0.6905,0.7993,0.7542,0.7662,0.050000,0.08
33,0.6818,0.8033,0.7491,0.7646,0.050000,0.08
34,0.6714,0.8027,0.7416,0.7711,0.050000,0.07
