epoch,train_loss,train_acc,val_loss,val_acc,lr,time
1,1.6028,0.4423,2.0972,0.3409,0.010000,0.16
2,0.9379,0.6761,1.7769,0.5341,0.010000,0.15
3,0.7354,0.7351,1.5232,0.5341,0.010000,0.13
4,0.6122,0.7795,1.2417,0.6753,0.010000,0.14
5,0.5132,0.8164,1.0064,0.7192,0.010000,0.17
6,0.4334,0.8518,0.8574,0.7386,0.010000,0.15
7,0.3781,0.8679,0.7061,0.7760,0.010000,0.34
8,0.3265,0.8895,0.6343,0.7808,0.010000,0.16
9,0.2799,0.9026,0.5731,0.7825,0.010000,0.17
10,0.2413,0.9189,0.5521,0.8003,0.010000,0.18
11,0.1977,0.9378,0.5267,0.8019,0.010000,0.18
12,0.1688,0.9466,0.5478,0.8019,0.010000,0.13
13,0.1487,0.9543,0.5034,0.8247,0.010000,0.14
14,0.1290,0.9619,0.5697,0.7987,0.010000,0.20
15,0.1112,0.9688,0.5943,0.8019,0.010000,0.15
16,0.0922,0.9770,0.6746,0.7987,0.010000,0.23
17,0.0837,0.9789,0.7023,0.7922,0.010000,0.15
18,0.0648,0.9869,0.6301,0.8133,0.005000,0.19
19,0.0603,0.9847,0.6079,0.8231,0.005000,0.17
20,0.0514,0.9895,0.6442,0.8166,0.005000,0.18
