epoch,train_loss,val_loss,val_acc,lr,epoch_time
1,2.2717,2.2562,0.1489,0.001000,2.7
2,2.2485,2.2257,0.1489,0.001000,2.0
3,2.2297,2.2160,0.1505,0.001000,2.1
4,2.2293,2.2477,0.1392,0.001000,2.0
5,2.2228,2.2032,0.1424,0.001000,2.0
6,2.2144,2.2958,0.1165,0.001000,2.0
7,2.2089,2.1899,0.1618,0.001000,2.0
8,2.1980,2.2030,0.1537,0.001000,2.0
9,2.1925,2.4001,0.1489,0.001000,2.0
10,2.1806,2.1973,0.1748,0.001000,2.0
11,2.1694,2.2353,0.1343,0.001000,2.0
12,2.1583,2.1747,0.1634,0.000500,2.0
13,2.1458,2.1982,0.1796,0.000500,2.1
14,2.1426,2.2255,0.1375,0.000500,2.0
15,2.1360,2.2557,0.1553,0.000500,2.0
16,2.1296,2.2267,0.1861,0.000500,2.0
17,2.1167,2.1287,0.1764,0.000250,2.0
18,2.1024,2.1509,0.1667,0.000250,2.0
19,2.0960,2.0743,0.1958,0.000250,2.0
20,2.0943,2.1410,0.1602,0.000250,2.0
21,2.0867,2.1911,0.1553,0.000250,2.0
22,2.0844,2.1152,0.1958,0.000250,2.0
23,2.0885,2.6880,0.1230,0.000250,2.0
24,2.0723,2.3830,0.1456,0.000125,2.0
