epoch,train_loss,val_loss,val_acc,lr,epoch_time
1,2.2660,2.2360,0.1472,0.000300,2.2
2,2.2461,2.2066,0.1456,0.000300,1.7
3,2.2330,2.2065,0.1521,0.000300,1.7
4,2.2313,2.2095,0.1553,0.000300,1.7
5,2.2222,2.2125,0.1505,0.000300,1.7
6,2.2157,2.2273,0.1650,0.000300,1.7
7,2.1909,2.2714,0.1343,0.000150,1.7
8,2.1816,2.2026,0.1699,0.000150,1.7
9,2.1840,2.1801,0.1893,0.000150,1.7
10,2.1682,2.1533,0.1845,0.000150,1.7
11,2.1560,2.2321,0.1780,0.000150,1.7
12,2.1534,2.1730,0.1974,0.000150,1.7
13,2.1444,2.2189,0.1667,0.000150,1.7
14,2.1383,2.2415,0.1764,0.000150,1.7
15,2.1207,2.1975,0.1472,0.000075,1.7
