epoch,train_loss,val_loss,val_acc,lr,epoch_time
1,2.2641,2.2256,0.1621,0.000300,2.0
2,2.2385,2.2263,0.1442,0.000300,1.6
3,2.2363,2.3121,0.1556,0.000300,1.5
4,2.2240,2.1872,0.1459,0.000300,1.5
5,2.2136,2.2119,0.1507,0.000300,1.6
6,2.2043,2.3071,0.1329,0.000300,1.6
7,2.1932,2.2298,0.1945,0.000300,1.6
8,2.1794,2.1791,0.1945,0.000300,1.6
9,2.1703,2.1725,0.1799,0.000300,1.5
10,2.1579,2.1619,0.1637,0.000300,1.5
11,2.1526,2.2001,0.1572,0.000300,1.5
12,2.1377,2.2387,0.1669,0.000300,1.6
13,2.1301,2.1329,0.1929,0.000300,1.5
14,2.1089,2.1826,0.1896,0.000300,1.6
15,2.0998,2.4524,0.1378,0.000300,1.6
16,2.0877,2.0717,0.2026,0.000300,1.6
17,2.0714,2.3220,0.1378,0.000300,1.6
18,2.0692,2.1479,0.1653,0.000300,1.6
19,2.0633,2.2669,0.1264,0.000300,1.6
20,2.0611,2.2487,0.1686,0.000300,1.5
21,2.0249,2.1928,0.1864,0.000150,1.6
