epoch,train_loss,val_loss,val_acc,lr,epoch_time
1,2.2643,2.2133,0.1602,0.000300,3.4
2,2.2480,2.2218,0.1537,0.000300,3.0
3,2.2348,2.2100,0.1311,0.000300,2.9
4,2.2362,2.2285,0.1731,0.000300,2.9
5,2.2142,2.3529,0.1586,0.000300,2.9
6,2.2243,2.2045,0.1731,0.000300,2.9
7,2.2128,2.2283,0.1553,0.000300,2.9
8,2.2024,2.2135,0.1683,0.000300,2.9
9,2.1940,2.2074,0.1570,0.000300,2.9
10,2.1816,2.1632,0.1731,0.000300,2.9
11,2.1806,2.2440,0.1505,0.000300,3.0
12,2.1757,2.1703,0.1634,0.000300,2.9
13,2.1736,2.1604,0.1731,0.000300,2.9
14,2.1681,2.1764,0.1634,0.000300,2.9
15,2.1635,2.1883,0.1877,0.000300,2.9
16,2.1512,2.2140,0.1537,0.000300,2.9
17,2.1370,2.4905,0.1375,0.000300,2.9
18,2.1347,2.1092,0.1845,0.000150,2.9
19,2.1228,2.1846,0.1764,0.000150,2.9
20,2.1115,2.3321,0.1505,0.000150,3.0
21,2.1083,2.1329,0.1537,0.000150,3.0
22,2.1077,2.2169,0.1634,0.000150,2.9
23,2.0910,2.1149,0.1748,0.000075,3.0
