coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
192083,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/192083.npy,,success,,bad_geometry,0.4632,0.4583,0.4589,0.333,0.4127,0.079253,0.0253,0.170136,256,256,220,0.0,0.5194,True,center_out_of_bounds,bbox,baseline,False
171875,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/171875.npy,,success,,good,0.5722,0.4565,0.4678,0.2643,0.3384,0.507261,0.1421,0.113788,327,301,266,84.06,0.5572,False,,bbox,baseline,False
151326,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/151326.npy,,success,,borderline,0.4837,0.4069,0.4073,0.2232,0.309,0.434799,0.1104,0.093525,368,297,297,119.27,0.6413,False,,bbox,baseline,False
148374,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/148374.npy,,success,,good,0.592,0.4501,0.4503,0.309,0.3818,0.526246,0.1211,0.145277,369,289,298,117.72,0.6706,False,,bbox,baseline,False
112740,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/112740.npy,,success,,good,0.6839,0.4565,0.4767,0.2889,0.374,0.700341,0.1179,0.138124,295,291,295,52.4,0.6835,False,,bbox,baseline,False
189956,Diocletian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/189956.npy,,success,,bad_geometry,0.4442,0.9804,0.9999,0.2261,0.1053,0.059082,0.0964,0.009622,256,256,220,0.0,0.6285,True,center_out_of_bounds,bbox,baseline,False
191040,Diocletian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/191040.npy,,success,,bad_geometry,0.4793,1.0,1.0,0.8253,0.1552,0.098079,0.1003,0.023735,256,256,220,0.0,0.6052,True,center_out_of_bounds,bbox,baseline,False
137506,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/137506.npy,,success,,bad_geometry,0.5177,0.9992,1.0,0.4425,0.1384,0.244219,0.2612,0.017716,256,256,220,0.0,0.5113,True,center_out_of_bounds,bbox,baseline,False
189408,Diocletian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/189408.npy,,success,,borderline,0.4838,0.4062,0.4068,0.2718,0.3933,0.182086,0.0514,0.154246,367,251,296,111.11,0.5525,False,,bbox,baseline,False
197119,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_001901_baseline/ribbons/197119.npy,,success,,bad_geometry,0.465,1.0,1.0,0.8701,0.1533,0.036956,0.041,0.022902,256,256,220,0.0,0.5584,True,center_out_of_bounds,bbox,baseline,False
