coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,geometry_flags,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
151326,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/151326.npy,,success,,borderline,0.5196,,0.4305,0.431,0.2434,0.3181,0.404505,0.1178,0.099603,367,299,288,119.04,0.6413,False,,moments,cm_moments,False
171875,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/171875.npy,,success,,good,0.6246,,0.4639,0.475,0.2662,0.3376,0.531371,0.1445,0.113142,326,304,263,84.88,0.5572,False,,moments,cm_moments,False
126587,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/126587.npy,,success,,borderline,0.463,,0.4237,0.4241,0.2409,0.3037,0.298611,0.1092,0.091155,347,331,281,117.92,0.5968,False,,moments,cm_moments,False
131416,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/131416.npy,,success,,borderline,0.4301,high_center_offset,0.3274,0.3276,0.217,0.3332,0.280315,0.0967,0.110517,365,351,336,144.59,0.6369,False,,moments,cm_moments,False
112709,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/112709.npy,,success,,good,0.6953,,0.5122,0.5314,0.3101,0.3668,0.540482,0.1218,0.132878,297,284,282,49.65,0.6714,False,,moments,cm_moments,False
171893,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/171893.npy,,success,,good,0.6699,,0.4438,0.4485,0.2709,0.3568,0.594156,0.1269,0.123972,309,297,268,67.01,0.5684,False,,moments,cm_moments,False
160022,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/160022.npy,,success,,good,0.5804,,0.4633,0.4714,0.2247,0.2927,0.479578,0.1412,0.084097,297,300,292,60.14,0.6641,False,,moments,cm_moments,False
160029,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/160029.npy,,success,,good,0.6374,,0.5018,0.5085,0.3225,0.3703,0.476882,0.1354,0.136554,348,293,281,99.16,0.6632,False,,moments,cm_moments,False
110548,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/110548.npy,,success,,borderline,0.4612,fallback:center_out_of_bounds,0.8125,0.817,0.3358,0.1816,0.216332,0.2019,0.029738,256,256,220,0.0,0.3877,True,center_out_of_bounds,moments,cm_moments,False
173463,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/173463.npy,,success,,borderline,0.4566,fallback:center_out_of_bounds,1.0,1.0,0.9592,0.1269,0.019819,0.0164,0.01477,256,256,220,0.0,0.561,True,center_out_of_bounds,moments,cm_moments,False
146605,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/146605.npy,,success,,good,0.5846,,0.4717,0.4832,0.2272,0.2999,0.457198,0.1489,0.088699,287,300,288,53.82,0.6778,False,,moments,cm_moments,False
171917,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/171917.npy,,success,,good,0.5556,,0.4315,0.4321,0.2019,0.2875,0.462616,0.1241,0.081275,299,304,281,64.44,0.6311,False,,moments,cm_moments,False
141156,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/141156.npy,,success,,good,0.606,high_center_offset,0.4281,0.4354,0.276,0.3579,0.541052,0.118,0.127073,373,308,288,128.04,0.6445,False,,moments,cm_moments,False
130596,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/130596.npy,,success,,borderline,0.4701,fallback:center_out_of_bounds,0.9895,0.9996,0.4124,0.1029,0.152427,0.2716,0.009879,256,256,220,0.0,0.6539,True,center_out_of_bounds,moments,cm_moments,False
108316,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/108316.npy,,success,,good,0.5764,,0.4544,0.4547,0.3176,0.3788,0.375559,0.1284,0.141551,360,301,285,113.32,0.6555,False,,moments,cm_moments,False
137506,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/137506.npy,,success,,borderline,0.5218,fallback:center_out_of_bounds,0.9992,1.0,0.4425,0.1384,0.244219,0.2612,0.017716,256,256,220,0.0,0.5113,True,center_out_of_bounds,moments,cm_moments,False
135477,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/135477.npy,,success,,good,0.5574,fallback:center_out_of_bounds,0.9964,0.9999,0.4369,0.1253,0.340648,0.2965,0.0154,256,256,220,0.0,0.6537,True,center_out_of_bounds,moments,cm_moments,False
144139,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/144139.npy,,success,,good,0.5797,fallback:center_out_of_bounds,0.9999,1.0,0.5008,0.183,0.336533,0.3098,0.032268,256,256,220,0.0,0.5106,True,center_out_of_bounds,moments,cm_moments,False
149545,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/149545.npy,,success,,borderline,0.4271,high_center_offset,0.4554,0.4662,0.2057,0.2698,0.264645,0.09,0.072311,375,307,290,129.47,0.656,False,,moments,cm_moments,False
122082,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/122082.npy,,success,,good,0.5933,,0.4706,0.4725,0.3254,0.3779,0.340783,0.157,0.142163,322,294,260,76.16,0.5494,False,,moments,cm_moments,False
122077,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/122077.npy,,success,,borderline,0.4668,,0.3671,0.3698,0.172,0.2737,0.384327,0.1146,0.07359,332,321,296,100.0,0.5937,False,,moments,cm_moments,False
146606,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/146606.npy,,success,,borderline,0.5043,,0.4643,0.4777,0.2204,0.2996,0.360398,0.1243,0.089281,360,297,292,111.79,0.693,False,,moments,cm_moments,False
171741,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/171741.npy,,success,,borderline,0.4823,,0.4668,0.4671,0.2269,0.2868,0.25817,0.1241,0.081556,307,300,272,67.36,0.5959,False,,moments,cm_moments,False
139381,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/139381.npy,,success,,good,0.7166,fallback:center_out_of_bounds,0.9998,1.0,0.6628,0.1977,0.649069,0.2726,0.038426,256,256,220,0.0,0.5107,True,center_out_of_bounds,moments,cm_moments,False
137510,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/137510.npy,,success,,good,0.7794,fallback:center_out_of_bounds,0.9998,1.0,0.6499,0.2674,0.8644,0.2432,0.068936,256,256,220,0.0,0.511,True,center_out_of_bounds,moments,cm_moments,False
171923,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/171923.npy,,success,,borderline,0.5445,,0.4618,0.4627,0.2451,0.3089,0.366701,0.1422,0.094436,302,301,284,64.35,0.6402,False,,moments,cm_moments,False
192083,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/192083.npy,,success,,borderline,0.4604,fallback:center_out_of_bounds,0.4583,0.4589,0.333,0.4127,0.079253,0.0253,0.170136,256,256,220,0.0,0.5194,True,center_out_of_bounds,moments,cm_moments,False
112740,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/112740.npy,,success,,good,0.7605,,0.4896,0.5098,0.3096,0.3765,0.698996,0.1226,0.139686,294,291,286,51.66,0.6835,False,,moments,cm_moments,False
160032,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/160032.npy,,success,,borderline,0.5461,,0.4283,0.4389,0.2796,0.3532,0.390958,0.1332,0.123926,361,312,291,119.0,0.6501,False,,moments,cm_moments,False
191799,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/191799.npy,,success,,borderline,0.4699,,0.5276,0.5278,0.2513,0.2888,0.23173,0.1296,0.083287,356,288,284,105.0,0.6821,False,,moments,cm_moments,False
148374,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/148374.npy,,success,,good,0.6553,,0.4812,0.4815,0.3267,0.3823,0.53085,0.1266,0.145655,364,290,286,113.23,0.6706,False,,moments,cm_moments,False
163970,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/163970.npy,,success,,good,0.6876,,0.47,0.473,0.3053,0.3652,0.586401,0.125,0.130238,294,305,292,62.01,0.6758,False,,moments,cm_moments,False
192141,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/192141.npy,,success,,borderline,0.5267,fallback:center_out_of_bounds,0.4833,0.4837,0.3939,0.4386,0.234392,0.0721,0.189883,256,256,220,0.0,0.5299,True,center_out_of_bounds,moments,cm_moments,False
192055,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/192055.npy,,success,,borderline,0.5334,,0.8593,0.8929,0.284,0.1948,0.258112,0.195,0.036753,184,178,160,106.15,0.5693,False,,moments,cm_moments,False
160297,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/160297.npy,,success,,good,0.7311,,0.5089,0.5147,0.329,0.3739,0.624925,0.1325,0.137755,300,291,288,56.22,0.6695,False,,moments,cm_moments,False
122084,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005128_cm_moments/ribbons/122084.npy,,success,,borderline,0.509,fallback:center_out_of_bounds,0.9994,1.0,0.4198,0.1084,0.233091,0.2905,0.01153,256,256,220,0.0,0.5765,True,center_out_of_bounds,moments,cm_moments,False
