coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,geometry_flags,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
151326,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/151326.npy,,success,,borderline,0.5108,high_center_offset,0.399,0.3995,0.2182,0.3072,0.43508,0.1067,0.09244,369,297,300,120.21,0.6413,False,,min_enclosing_circle,cm_min_enclosing_circle,False
171875,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/171875.npy,,success,,good,0.5744,,0.4072,0.4177,0.2367,0.3312,0.492713,0.1279,0.109151,337,312,283,98.47,0.5572,False,,min_enclosing_circle,cm_min_enclosing_circle,False
131416,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/131416.npy,,success,,borderline,0.4064,high_center_offset,0.3061,0.3062,0.2015,0.3245,0.266849,0.0873,0.104957,367,356,351,149.4,0.6369,False,,min_enclosing_circle,cm_min_enclosing_circle,False
126587,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/126587.npy,,success,,borderline,0.4611,,0.4213,0.4215,0.2392,0.3031,0.296933,0.1099,0.090831,347,331,282,117.92,0.5968,False,,min_enclosing_circle,cm_min_enclosing_circle,False
160022,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/160022.npy,,success,,borderline,0.5339,,0.4024,0.4092,0.1948,0.2822,0.452699,0.1233,0.078456,304,307,310,70.04,0.6641,False,,min_enclosing_circle,cm_min_enclosing_circle,False
112709,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/112709.npy,,success,,good,0.6969,,0.5091,0.5281,0.3079,0.3671,0.546562,0.1173,0.133034,297,284,283,49.65,0.6714,False,,min_enclosing_circle,cm_min_enclosing_circle,False
160029,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/160029.npy,,success,,good,0.6377,,0.4989,0.5056,0.3211,0.3704,0.479972,0.1346,0.136589,348,293,282,99.16,0.6632,False,,min_enclosing_circle,cm_min_enclosing_circle,False
130596,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/130596.npy,,success,,borderline,0.4701,fallback:center_out_of_bounds,0.9895,0.9996,0.4124,0.1029,0.152427,0.2716,0.009879,256,256,220,0.0,0.6539,True,center_out_of_bounds,min_enclosing_circle,cm_min_enclosing_circle,False
171893,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/171893.npy,,success,,good,0.5955,,0.3486,0.3559,0.1955,0.319,0.562315,0.1028,0.100445,305,293,296,61.4,0.5684,False,,min_enclosing_circle,cm_min_enclosing_circle,False
144139,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/144139.npy,,success,,good,0.5797,fallback:center_out_of_bounds,0.9999,1.0,0.5008,0.183,0.336533,0.3098,0.032268,256,256,220,0.0,0.5106,True,center_out_of_bounds,min_enclosing_circle,cm_min_enclosing_circle,False
173463,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/173463.npy,,success,,borderline,0.4566,fallback:center_out_of_bounds,1.0,1.0,0.9592,0.1269,0.019819,0.0164,0.01477,256,256,220,0.0,0.561,True,center_out_of_bounds,min_enclosing_circle,cm_min_enclosing_circle,False
137506,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/137506.npy,,success,,borderline,0.5218,fallback:center_out_of_bounds,0.9992,1.0,0.4425,0.1384,0.244219,0.2612,0.017716,256,256,220,0.0,0.5113,True,center_out_of_bounds,min_enclosing_circle,cm_min_enclosing_circle,False
171917,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/171917.npy,,success,,borderline,0.5231,,0.3927,0.3935,0.1777,0.2755,0.442721,0.1141,0.074703,306,301,295,67.27,0.6311,False,,min_enclosing_circle,cm_min_enclosing_circle,False
146605,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/146605.npy,,success,,good,0.562,,0.4307,0.4412,0.2064,0.295,0.447933,0.1368,0.08556,290,298,301,54.04,0.6778,False,,min_enclosing_circle,cm_min_enclosing_circle,False
139381,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/139381.npy,,success,,good,0.7166,fallback:center_out_of_bounds,0.9998,1.0,0.6628,0.1977,0.649069,0.2726,0.038426,256,256,220,0.0,0.5107,True,center_out_of_bounds,min_enclosing_circle,cm_min_enclosing_circle,False
110548,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/110548.npy,,success,,borderline,0.4612,fallback:center_out_of_bounds,0.8125,0.817,0.3358,0.1816,0.216332,0.2019,0.029738,256,256,220,0.0,0.3877,True,center_out_of_bounds,min_enclosing_circle,cm_min_enclosing_circle,False
149545,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/149545.npy,,success,,borderline,0.4622,,0.4354,0.4473,0.1999,0.2838,0.32219,0.1052,0.079847,367,293,304,117.0,0.656,False,,min_enclosing_circle,cm_min_enclosing_circle,False
122082,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/122082.npy,,success,,good,0.5929,,0.4672,0.4691,0.324,0.3781,0.342288,0.1566,0.142261,322,294,261,76.16,0.5494,False,,min_enclosing_circle,cm_min_enclosing_circle,False
108316,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/108316.npy,,success,,good,0.5601,,0.4213,0.4215,0.291,0.371,0.38987,0.1194,0.136325,367,298,299,118.68,0.6555,False,,min_enclosing_circle,cm_min_enclosing_circle,False
141156,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/141156.npy,,success,,good,0.5698,high_center_offset,0.3877,0.3984,0.2472,0.347,0.51802,0.1094,0.118551,374,310,303,129.77,0.6445,False,,min_enclosing_circle,cm_min_enclosing_circle,False
135477,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/135477.npy,,success,,good,0.5574,fallback:center_out_of_bounds,0.9964,0.9999,0.4369,0.1253,0.340648,0.2965,0.0154,256,256,220,0.0,0.6537,True,center_out_of_bounds,min_enclosing_circle,cm_min_enclosing_circle,False
122077,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/122077.npy,,success,,borderline,0.4239,,0.3127,0.3159,0.1429,0.256,0.347751,0.0989,0.064951,333,313,319,95.8,0.5937,False,,min_enclosing_circle,cm_min_enclosing_circle,False
171741,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/171741.npy,,success,,borderline,0.4792,,0.4246,0.425,0.2135,0.2919,0.270818,0.109,0.084381,305,296,284,63.25,0.5959,False,,min_enclosing_circle,cm_min_enclosing_circle,False
146606,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/146606.npy,,success,,borderline,0.4833,,0.435,0.4471,0.207,0.2961,0.345965,0.118,0.087158,363,297,303,114.59,0.693,False,,min_enclosing_circle,cm_min_enclosing_circle,False
171923,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/171923.npy,,success,,borderline,0.5474,,0.4334,0.4347,0.2312,0.3108,0.391991,0.134,0.094865,302,297,293,61.62,0.6402,False,,min_enclosing_circle,cm_min_enclosing_circle,False
192083,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/192083.npy,,success,,borderline,0.4604,fallback:center_out_of_bounds,0.4583,0.4589,0.333,0.4127,0.079253,0.0253,0.170136,256,256,220,0.0,0.5194,True,center_out_of_bounds,min_enclosing_circle,cm_min_enclosing_circle,False
163970,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005146_cm_min_enclosing_circle/ribbons/163970.npy,,success,,good,0.6555,,0.4264,0.4286,0.2725,0.354,0.569235,0.1222,0.122043,288,307,302,60.21,0.6758,False,,min_enclosing_circle,cm_min_enclosing_circle,False
