coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,geometry_flags,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
171875,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/171875.npy,,success,,good,0.581,,0.4318,0.4424,0.2516,0.3343,0.457821,0.1331,0.111242,327,301,266,84.06,0.5572,False,,bbox,sweep_cen_bbox_inn076_out092,False
160022,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/160022.npy,,success,,borderline,0.5076,,0.3721,0.3798,0.1768,0.2679,0.434412,0.1172,0.070759,295,310,304,66.61,0.6641,False,,bbox,sweep_cen_bbox_inn076_out092,False
151326,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/151326.npy,,success,,borderline,0.4965,,0.3776,0.3781,0.2015,0.2987,0.432304,0.1021,0.087778,368,297,297,119.27,0.6413,False,,bbox,sweep_cen_bbox_inn076_out092,False
144139,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/144139.npy,,success,,good,0.5926,fallback:center_out_of_bounds,0.9998,1.0,0.4864,0.1884,0.359352,0.3008,0.034944,256,256,220,0.0,0.5106,True,center_out_of_bounds,bbox,sweep_cen_bbox_inn076_out092,False
126587,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/126587.npy,,success,,borderline,0.4376,,0.3959,0.3961,0.2218,0.2958,0.276847,0.0918,0.086809,348,332,282,119.33,0.5968,False,,bbox,sweep_cen_bbox_inn076_out092,False
137506,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/137506.npy,,success,,borderline,0.5314,fallback:center_out_of_bounds,0.9993,1.0,0.4271,0.1317,0.271261,0.261,0.01653,256,256,220,0.0,0.5113,True,center_out_of_bounds,bbox,sweep_cen_bbox_inn076_out092,False
131416,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/131416.npy,,success,,borderline,0.3974,high_center_offset,0.2931,0.2933,0.1951,0.3231,0.251931,0.0837,0.104191,366,351,348,145.34,0.6369,False,,bbox,sweep_cen_bbox_inn076_out092,False
112709,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/112709.npy,,success,,good,0.6845,,0.4659,0.4907,0.2812,0.3649,0.55792,0.1039,0.131889,297,285,283,50.22,0.6714,False,,bbox,sweep_cen_bbox_inn076_out092,False
160029,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/160029.npy,,success,,good,0.6186,,0.4675,0.473,0.306,0.3712,0.460927,0.1185,0.137014,349,294,282,100.46,0.6632,False,,bbox,sweep_cen_bbox_inn076_out092,False
146605,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/146605.npy,,success,,borderline,0.5394,,0.4217,0.4323,0.201,0.2901,0.414428,0.1313,0.083121,292,301,292,57.63,0.6778,False,,bbox,sweep_cen_bbox_inn076_out092,False
171917,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/171917.npy,,success,,borderline,0.5042,,0.3799,0.3803,0.1705,0.2707,0.410661,0.1086,0.072305,302,301,288,64.35,0.6311,False,,bbox,sweep_cen_bbox_inn076_out092,False
171893,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/171893.npy,,success,,good,0.5866,,0.3422,0.3494,0.1912,0.3155,0.563835,0.0995,0.098596,307,302,289,68.68,0.5684,False,,bbox,sweep_cen_bbox_inn076_out092,False
173463,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/173463.npy,,success,,borderline,0.4929,fallback:center_out_of_bounds,0.9918,0.9922,0.9332,0.1779,0.147401,0.031,0.027743,256,256,220,0.0,0.561,True,center_out_of_bounds,bbox,sweep_cen_bbox_inn076_out092,False
149545,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/149545.npy,,success,,borderline,0.4325,high_center_offset,0.4125,0.4246,0.1846,0.2711,0.302512,0.0953,0.072871,370,303,299,123.31,0.656,False,,bbox,sweep_cen_bbox_inn076_out092,False
122077,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/122077.npy,,success,,borderline,0.41,,0.306,0.3082,0.1368,0.2481,0.347675,0.0973,0.061259,335,326,311,105.55,0.5937,False,,bbox,sweep_cen_bbox_inn076_out092,False
139381,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_005431_sweep_cen_bbox_inn076_out092/ribbons/139381.npy,,success,,good,0.6992,fallback:center_out_of_bounds,0.9994,1.0,0.6603,0.1951,0.611772,0.2735,0.037039,256,256,220,0.0,0.5107,True,center_out_of_bounds,bbox,sweep_cen_bbox_inn076_out092,False
