coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,geometry_flags,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
151326,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/151326.npy,,success,,borderline,0.5386,,0.4161,0.4165,0.2312,0.3127,0.450667,0.1188,0.094951,368,297,297,119.27,0.6413,False,,bbox,offset_175,False
126587,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/126587.npy,,success,,borderline,0.4769,,0.4288,0.4291,0.246,0.3058,0.300369,0.1224,0.091815,348,332,282,119.33,0.5968,False,,bbox,offset_175,False
137506,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/137506.npy,,success,,borderline,0.5183,fallback:center_out_of_bounds,0.9994,1.0,0.4497,0.1393,0.235191,0.2732,0.017777,256,256,220,0.0,0.5113,True,center_out_of_bounds,bbox,offset_175,False
171875,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/171875.npy,,success,,good,0.6449,,0.4659,0.481,0.265,0.338,0.5573,0.1493,0.113456,327,301,266,84.06,0.5572,False,,bbox,offset_175,False
160022,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/160022.npy,,success,,good,0.5652,,0.4225,0.4306,0.2007,0.2817,0.493969,0.1389,0.077502,295,310,304,66.61,0.6641,False,,bbox,offset_175,False
144139,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/144139.npy,,success,,good,0.5813,fallback:center_out_of_bounds,0.9998,1.0,0.5094,0.1868,0.336798,0.3238,0.033428,256,256,220,0.0,0.5106,True,center_out_of_bounds,bbox,offset_175,False
112709,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/112709.npy,,success,,good,0.7204,,0.5194,0.5377,0.3084,0.3615,0.599951,0.1373,0.128189,297,285,283,50.22,0.6714,False,,bbox,offset_175,False
160029,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/160029.npy,,success,,good,0.6837,,0.5055,0.5131,0.3222,0.3695,0.568921,0.1438,0.135406,349,294,282,100.46,0.6632,False,,bbox,offset_175,False
131416,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/131416.npy,,success,,borderline,0.4408,high_center_offset,0.3176,0.3178,0.2116,0.3318,0.286145,0.0956,0.10935,366,351,348,145.34,0.6369,False,,bbox,offset_175,False
146605,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/146605.npy,,success,,good,0.5949,,0.4634,0.4763,0.2191,0.2952,0.491695,0.1528,0.08577,292,301,292,57.63,0.6778,False,,bbox,offset_175,False
173463,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/173463.npy,,success,,borderline,0.4721,fallback:center_out_of_bounds,0.9933,0.9933,0.9509,0.1516,0.121998,0.023,0.019665,256,256,220,0.0,0.561,True,center_out_of_bounds,bbox,offset_175,False
171917,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/171917.npy,,success,,good,0.5628,,0.4273,0.4276,0.1983,0.2872,0.472357,0.1282,0.080116,302,301,288,64.35,0.6311,False,,bbox,offset_175,False
171893,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/171893.npy,,success,,good,0.6486,,0.3893,0.3952,0.2293,0.3377,0.62051,0.1217,0.110241,307,302,289,68.68,0.5684,False,,bbox,offset_175,False
108316,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/108316.npy,,success,,good,0.5944,,0.4398,0.4399,0.3085,0.3789,0.41675,0.1288,0.140509,368,296,297,118.93,0.6555,False,,bbox,offset_175,False
141156,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/141156.npy,,success,,good,0.6049,high_center_offset,0.4033,0.4127,0.2542,0.3483,0.55552,0.1196,0.118956,374,304,302,127.39,0.6445,False,,bbox,offset_175,False
149545,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/149545.npy,,success,,borderline,0.4626,high_center_offset,0.4477,0.4597,0.2015,0.2724,0.315995,0.1083,0.073214,370,303,299,123.31,0.656,False,,bbox,offset_175,False
139381,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/139381.npy,,success,,good,0.7086,fallback:center_out_of_bounds,0.9996,1.0,0.664,0.1937,0.636424,0.297,0.036419,256,256,220,0.0,0.5107,True,center_out_of_bounds,bbox,offset_175,False
122077,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/122077.npy,,success,,borderline,0.4654,,0.342,0.345,0.1604,0.2666,0.399703,0.1161,0.069626,335,326,311,105.55,0.5937,False,,bbox,offset_175,False
122082,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/122082.npy,,success,,good,0.6156,,0.4756,0.4775,0.3308,0.38,0.372406,0.1671,0.142898,323,295,261,77.52,0.5494,False,,bbox,offset_175,False
171923,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/171923.npy,,success,,good,0.5603,,0.4507,0.4516,0.2373,0.3058,0.410617,0.1483,0.091638,302,303,290,65.76,0.6402,False,,bbox,offset_175,False
171741,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010218_offset_175/ribbons/171741.npy,,success,,borderline,0.4935,,0.4394,0.4399,0.216,0.2849,0.296833,0.1267,0.079773,304,301,283,65.8,0.5959,False,,bbox,offset_175,False
