coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,geometry_flags,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
126587,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/126587.npy,,success,,borderline,0.4887,,0.4325,0.4329,0.2478,0.3062,0.303032,0.1204,0.091999,347,331,281,117.92,0.5968,False,,moments,offset_200_moments,False
171875,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/171875.npy,,success,,good,0.6613,,0.4716,0.4865,0.2657,0.3367,0.581875,0.153,0.112494,326,304,263,84.88,0.5572,False,,moments,offset_200_moments,False
131416,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/131416.npy,,success,,borderline,0.4648,high_center_offset,0.3341,0.3342,0.2202,0.334,0.299343,0.1021,0.110873,365,351,336,144.59,0.6369,False,,moments,offset_200_moments,False
160022,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/160022.npy,,success,,good,0.6057,,0.4716,0.4797,0.2252,0.2901,0.514578,0.1525,0.082542,297,300,292,60.14,0.6641,False,,moments,offset_200_moments,False
151326,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/151326.npy,,success,,good,0.5548,,0.4387,0.4393,0.2464,0.3172,0.439692,0.1255,0.098111,367,299,288,119.04,0.6413,False,,moments,offset_200_moments,False
112709,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/112709.npy,,success,,good,0.7278,,0.5236,0.5427,0.3107,0.3615,0.604217,0.136,0.128404,297,284,282,49.65,0.6714,False,,moments,offset_200_moments,False
139381,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/139381.npy,,success,,good,0.7086,fallback:center_out_of_bounds,0.9996,1.0,0.664,0.1937,0.636424,0.297,0.036419,256,256,220,0.0,0.5107,True,center_out_of_bounds,moments,offset_200_moments,False
137506,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/137506.npy,,success,,borderline,0.5183,fallback:center_out_of_bounds,0.9994,1.0,0.4497,0.1393,0.235191,0.2732,0.017777,256,256,220,0.0,0.5113,True,center_out_of_bounds,moments,offset_200_moments,False
171893,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/171893.npy,,success,,good,0.713,,0.4596,0.4643,0.2739,0.3529,0.669994,0.1402,0.120383,309,297,268,67.01,0.5684,False,,moments,offset_200_moments,False
130596,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/130596.npy,,success,,borderline,0.4729,fallback:center_out_of_bounds,0.9757,0.9956,0.4081,0.1177,0.164298,0.2928,0.011939,256,256,220,0.0,0.6539,True,center_out_of_bounds,moments,offset_200_moments,False
160029,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/160029.npy,,success,,good,0.6914,,0.5109,0.5187,0.3249,0.3694,0.564201,0.1452,0.135355,348,293,281,99.16,0.6632,False,,moments,offset_200_moments,False
171917,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/171917.npy,,success,,good,0.5842,,0.4472,0.4478,0.209,0.2905,0.49006,0.1313,0.082019,299,304,281,64.44,0.6311,False,,moments,offset_200_moments,False
173463,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/173463.npy,,success,,borderline,0.4721,fallback:center_out_of_bounds,0.9933,0.9933,0.9509,0.1516,0.121998,0.023,0.019665,256,256,220,0.0,0.561,True,center_out_of_bounds,moments,offset_200_moments,False
146605,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/146605.npy,,success,,good,0.6156,,0.4794,0.4936,0.2271,0.2979,0.509079,0.1583,0.087238,287,300,288,53.82,0.6778,False,,moments,offset_200_moments,False
110548,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/110548.npy,,success,,borderline,0.4734,fallback:center_out_of_bounds,0.8082,0.8112,0.3336,0.1848,0.247513,0.2306,0.030399,256,256,220,0.0,0.3877,True,center_out_of_bounds,moments,offset_200_moments,False
149545,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/149545.npy,,success,,borderline,0.4658,high_center_offset,0.4623,0.4735,0.2076,0.2697,0.30142,0.1072,0.072028,375,307,290,129.47,0.656,False,,moments,offset_200_moments,False
141156,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/141156.npy,,success,,good,0.6462,high_center_offset,0.4341,0.4425,0.2774,0.3559,0.588681,0.1301,0.124925,373,308,288,128.04,0.6445,False,,moments,offset_200_moments,False
144139,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/144139.npy,,success,,good,0.5813,fallback:center_out_of_bounds,0.9998,1.0,0.5094,0.1868,0.336798,0.3238,0.033428,256,256,220,0.0,0.5106,True,center_out_of_bounds,moments,offset_200_moments,False
108316,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/108316.npy,,success,,good,0.6197,,0.4666,0.4668,0.3301,0.3845,0.415999,0.1372,0.144204,360,301,285,113.32,0.6555,False,,moments,offset_200_moments,False
135477,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/135477.npy,,success,,good,0.5609,fallback:center_out_of_bounds,0.9965,1.0,0.4341,0.1278,0.348169,0.3187,0.015667,256,256,220,0.0,0.6537,True,center_out_of_bounds,moments,offset_200_moments,False
122082,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_010318_offset_200_moments/ribbons/122082.npy,,success,,good,0.6263,,0.4807,0.4826,0.3339,0.3804,0.378404,0.1696,0.143088,322,294,260,76.16,0.5494,False,,moments,offset_200_moments,False
