coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,geometry_flags,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
120021,Diocletian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/120021.npy,,success,,good,0.612,,0.5157,0.5159,0.3212,0.3575,0.40941,0.1314,0.126733,362,288,278,110.72,0.6628,False,,moments,promoted_v1,False
196118,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/196118.npy,,success,,good,0.6082,fallback:center_out_of_bounds,1.0,1.0,0.661,0.1713,0.416844,0.326,0.028877,256,256,220,0.0,0.6304,True,center_out_of_bounds,moments,promoted_v1,False
142182,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/142182.npy,,success,,good,0.5878,high_center_offset,0.623,0.6363,0.3813,0.352,0.330183,0.135,0.123217,157,131,127,159.46,0.6707,False,,moments,promoted_v1,False
196142,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/196142.npy,,success,,good,0.6715,,0.7227,0.7252,0.3962,0.3171,0.359073,0.2276,0.099557,267,275,267,21.95,0.6823,False,,moments,promoted_v1,False
160194,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/160194.npy,,success,,good,0.6999,,0.4597,0.4632,0.3152,0.3786,0.578898,0.1354,0.135559,302,293,282,59.03,0.6425,False,,moments,promoted_v1,False
142256,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/142256.npy,,success,,borderline,0.5315,high_center_offset|small_radius,0.5687,0.5874,0.3223,0.3366,0.30291,0.1107,0.112494,136,118,110,182.88,0.5937,False,,moments,promoted_v1,False
206781,Maximian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/206781.npy,,success,,good,0.6789,,0.9924,0.9945,0.662,0.1919,0.36974,0.2432,0.035391,253,224,196,32.14,0.6226,False,,moments,promoted_v1,False
216163,Trajan,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/216163.npy,,success,,good,0.6113,fallback:center_out_of_bounds,0.7226,0.9187,0.466,0.4344,0.236427,0.0473,0.178734,256,256,220,0.0,0.5954,True,center_out_of_bounds,moments,promoted_v1,False
212395,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/212395.npy,,success,,good,0.6232,,0.5246,0.5253,0.3779,0.3786,0.357797,0.1925,0.136573,331,279,268,78.45,0.6163,False,,moments,promoted_v1,False
160546,Severus Alexander,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/160546.npy,,success,,good,0.7678,,0.4705,0.4754,0.3116,0.387,0.837799,0.1337,0.145703,300,296,278,59.46,0.6207,False,,moments,promoted_v1,False
148313,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/148313.npy,,success,,borderline,0.4436,high_center_offset,0.4679,0.4681,0.2002,0.2578,0.254134,0.0796,0.065646,366,308,297,121.67,0.6871,False,,moments,promoted_v1,False
195908,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/195908.npy,,success,,good,0.5581,,0.9991,1.0,0.3982,0.131,0.135678,0.2754,0.015751,277,231,224,32.65,0.6306,False,,moments,promoted_v1,False
196448,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/196448.npy,,success,,borderline,0.4756,,0.4592,0.4593,0.1784,0.2608,0.275524,0.1205,0.067465,309,308,305,74.25,0.6969,False,,moments,promoted_v1,False
159974,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/159974.npy,,success,,good,0.6941,,0.5305,0.5338,0.3806,0.3906,0.507801,0.1539,0.149779,348,295,280,99.92,0.6702,False,,moments,promoted_v1,False
160473,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/160473.npy,,success,,good,0.7237,,0.4663,0.4718,0.3015,0.3627,0.675574,0.1445,0.129686,312,313,291,79.91,0.6401,False,,moments,promoted_v1,False
151320,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/151320.npy,,success,,good,0.5818,high_center_offset,0.4978,0.4983,0.3075,0.3577,0.361931,0.1273,0.127228,373,286,300,120.78,0.7227,False,,moments,promoted_v1,False
214325,Severus Alexander,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/214325.npy,,success,,good,0.5622,fallback:center_out_of_bounds,0.982,0.982,0.7068,0.1698,0.324657,0.2815,0.027552,256,256,220,0.0,0.6899,True,center_out_of_bounds,moments,promoted_v1,False
154694,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/154694.npy,,success,,borderline,0.5478,high_center_offset,0.6147,0.6182,0.3608,0.3402,0.272994,0.1038,0.115165,152,128,123,164.92,0.6816,False,,moments,promoted_v1,False
199600,Gordian III,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/199600.npy,,success,,good,0.6858,fallback:center_out_of_bounds,1.0,1.0,0.6098,0.1817,0.592408,0.3507,0.032843,256,256,220,0.0,0.6642,True,center_out_of_bounds,moments,promoted_v1,False
128415,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/128415.npy,,success,,borderline,0.5047,fallback:center_out_of_bounds,0.9985,0.9993,0.3293,0.1085,0.223766,0.3274,0.011412,256,256,220,0.0,0.6754,True,center_out_of_bounds,moments,promoted_v1,False
123210,Trajan,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/123210.npy,,success,,good,0.7027,,0.9285,0.9291,0.465,0.2017,0.483345,0.2776,0.040098,302,257,244,46.01,0.6711,False,,moments,promoted_v1,False
161120,Diocletian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/161120.npy,,success,,borderline,0.5334,,0.4552,0.4764,0.2092,0.2821,0.436875,0.1395,0.078715,364,306,292,119.01,0.6722,False,,moments,promoted_v1,False
214546,Trajan,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/214546.npy,,success,,borderline,0.4682,fallback:center_out_of_bounds,0.9992,1.0,0.5072,0.0871,0.139479,0.2732,0.007507,256,256,220,0.0,0.6709,True,center_out_of_bounds,moments,promoted_v1,False
145106,Severus Alexander,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/145106.npy,,success,,borderline,0.4969,fallback:center_out_of_bounds,0.9921,0.9986,0.3308,0.1402,0.185236,0.3016,0.019061,256,256,220,0.0,0.6862,True,center_out_of_bounds,moments,promoted_v1,False
239958,Trajan,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/239958.npy,,success,,borderline,0.4818,,0.5381,0.539,0.2582,0.2625,0.214291,0.1563,0.068023,323,268,261,68.07,0.5902,False,,moments,promoted_v1,False
148305,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/148305.npy,,success,,borderline,0.4846,,0.5247,0.5252,0.2413,0.283,0.226403,0.1222,0.07925,342,292,277,93.23,0.6443,False,,moments,promoted_v1,False
192738,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/192738.npy,,success,,good,0.6013,,1.0,1.0,0.5518,0.1327,0.212326,0.3045,0.01624,247,249,202,11.4,0.5174,False,,moments,promoted_v1,False
110987,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/110987.npy,,success,,good,0.5612,,0.4982,0.4998,0.3214,0.3454,0.293298,0.1677,0.116739,323,295,261,77.52,0.5658,False,,moments,promoted_v1,False
192006,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/192006.npy,,success,,good,0.6754,high_center_offset,0.4329,0.4509,0.2903,0.3791,0.610609,0.1227,0.142576,388,281,292,134.35,0.6653,False,,moments,promoted_v1,False
146601,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/146601.npy,,success,,good,0.6208,,0.4634,0.4858,0.2209,0.2908,0.557412,0.1458,0.083127,291,306,294,61.03,0.6799,False,,moments,promoted_v1,False
151349,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/151349.npy,,success,,good,0.6521,,0.5037,0.5107,0.4114,0.4305,0.377855,0.1434,0.181702,317,310,255,81.47,0.5563,False,,moments,promoted_v1,False
110566,Gordian III,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/110566.npy,,success,,borderline,0.5446,fallback:center_out_of_bounds,0.9998,1.0,0.4697,0.1282,0.308772,0.3508,0.014746,256,256,220,0.0,0.5114,True,center_out_of_bounds,moments,promoted_v1,False
136711,Elagabalus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/136711.npy,,success,,borderline,0.4695,high_center_offset,0.3162,0.3163,0.2089,0.3341,0.350766,0.0949,0.111524,391,354,355,166.82,0.6479,False,,moments,promoted_v1,False
171801,Hadrian,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/171801.npy,,success,,borderline,0.4646,,0.4618,0.4623,0.2241,0.2837,0.25425,0.1167,0.079506,360,300,279,112.92,0.6183,False,,moments,promoted_v1,False
191926,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/191926.npy,,success,,borderline,0.5289,fallback:center_out_of_bounds,0.9753,0.9996,0.4615,0.1722,0.249656,0.2191,0.027496,256,256,220,0.0,0.6154,True,center_out_of_bounds,moments,promoted_v1,False
110496,Trajan,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/110496.npy,,success,,good,0.7389,fallback:center_out_of_bounds,0.9979,1.0,0.5767,0.2007,0.788883,0.3061,0.039295,256,256,220,0.0,0.5107,True,center_out_of_bounds,moments,promoted_v1,False
212407,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/212407.npy,,success,,borderline,0.2989,high_center_offset,0.2788,0.2789,0.1145,0.2024,0.230449,0.0912,0.040824,374,408,385,192.43,0.6825,False,,moments,promoted_v1,False
122084,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/122084.npy,,success,,borderline,0.5083,fallback:center_out_of_bounds,0.9909,0.9916,0.4214,0.1144,0.235929,0.3061,0.012344,256,256,220,0.0,0.5765,True,center_out_of_bounds,moments,promoted_v1,False
126777,Caracalla,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/126777.npy,,success,,good,0.5738,,0.4616,0.4619,0.2791,0.3333,0.415281,0.1421,0.109744,351,308,283,108.3,0.6267,False,,moments,promoted_v1,False
164099,Gordian III,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/164099.npy,,success,,good,0.6162,,0.5443,0.5447,0.3555,0.3506,0.381915,0.1463,0.119974,331,288,267,81.54,0.6215,False,,moments,promoted_v1,False
135981,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/135981.npy,,success,,borderline,0.4262,high_center_offset,0.3446,0.3447,0.1762,0.279,0.30659,0.1092,0.077605,372,344,324,145.6,0.613,False,,moments,promoted_v1,False
148434,Gordian III,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/148434.npy,,success,,good,0.6275,,0.4908,0.4911,0.328,0.3654,0.424087,0.1519,0.131562,338,286,273,87.32,0.6013,False,,moments,promoted_v1,False
239989,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/239989.npy,,success,,borderline,0.5322,,0.5001,0.5017,0.2564,0.3181,0.318753,0.1478,0.10093,367,287,285,115.25,0.6768,False,,moments,promoted_v1,False
114438,Severus Alexander,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/114438.npy,,success,,borderline,0.53,high_center_offset|small_radius,0.637,0.6374,0.4179,0.3648,0.184017,0.1607,0.132453,120,124,114,189.53,0.6796,False,,moments,promoted_v1,False
155767,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/155767.npy,,success,,good,0.6863,,0.5224,0.524,0.3539,0.3728,0.539375,0.119,0.135801,336,313,271,98.23,0.6317,False,,moments,promoted_v1,False
133782,Trajan,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/133782.npy,,success,,good,0.5607,,0.5113,0.5116,0.2839,0.3133,0.327523,0.1486,0.095468,299,296,288,58.73,0.6668,False,,moments,promoted_v1,False
212456,Septimius Severus,/root/trivalaya-vision/legend_cnn/runs/run_20260410_013529_promoted_v1/ribbons/212456.npy,,success,,good,0.5646,fallback:center_out_of_bounds,0.9993,0.9993,0.5968,0.1619,0.320662,0.2979,0.026066,256,256,220,0.0,0.6936,True,center_out_of_bounds,moments,promoted_v1,False
