coin_id,authority,ribbon_path,preview_path,status,failure_reason,quality_bucket,quality_score,geometry_flags,nonblack_fraction,nonzero_fraction,mean_intensity,std_intensity,gradient_energy,edge_density,row_variance_mean,cx,cy,radius,center_offset,mask_area_fraction,used_fallback,fallback_reason,center_method,config_id,known_hard_case
151326,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/151326.npy,,success,,borderline,0.5308,,0.4389,0.4394,0.2464,0.3172,0.381073,0.1069,0.098127,367,299,288,119.04,0.6413,False,,moments,promoted_v1_h128,False
171875,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/171875.npy,,success,,good,0.6374,,0.4712,0.4864,0.2657,0.3368,0.523831,0.1343,0.112539,326,304,263,84.88,0.5572,False,,moments,promoted_v1_h128,False
131416,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/131416.npy,,success,,borderline,0.4566,high_center_offset,0.3341,0.3342,0.2202,0.334,0.279222,0.0876,0.11089,365,351,336,144.59,0.6369,False,,moments,promoted_v1_h128,False
126587,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/126587.npy,,success,,borderline,0.4782,,0.4325,0.4329,0.2478,0.3062,0.277363,0.1002,0.092012,347,331,281,117.92,0.5968,False,,moments,promoted_v1_h128,False
160022,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/160022.npy,,success,,good,0.5759,,0.4722,0.4801,0.2252,0.2902,0.441599,0.1309,0.082572,297,300,292,60.14,0.6641,False,,moments,promoted_v1_h128,False
139381,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/139381.npy,,success,,good,0.6907,fallback:center_out_of_bounds,0.9995,1.0,0.664,0.1937,0.592896,0.2592,0.036416,256,256,220,0.0,0.5107,True,center_out_of_bounds,moments,promoted_v1_h128,False
171893,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/171893.npy,,success,,good,0.6755,,0.459,0.464,0.2739,0.3529,0.579562,0.1274,0.120385,309,297,268,67.01,0.5684,False,,moments,promoted_v1_h128,False
110548,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/110548.npy,,success,,borderline,0.457,fallback:center_out_of_bounds,0.8087,0.8132,0.3336,0.1848,0.207334,0.1745,0.030396,256,256,220,0.0,0.3877,True,center_out_of_bounds,moments,promoted_v1_h128,False
112709,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/112709.npy,,success,,good,0.6904,,0.5232,0.5428,0.3107,0.3616,0.513754,0.1154,0.128433,297,284,282,49.65,0.6714,False,,moments,promoted_v1_h128,False
160029,Antoninus Pius,/root/trivalaya-vision/legend_cnn/runs/run_20260410_161758_promoted_v1_h128/ribbons/160029.npy,,success,,good,0.6566,,0.5109,0.5188,0.325,0.3694,0.47968,0.1285,0.135353,348,293,281,99.16,0.6632,False,,moments,promoted_v1_h128,False
