id,side,strata
755357,obv,light
755357,rev,light
755363,obv,light
755363,rev,light
755377,obv,light
755377,rev,light
755366,obv,light
755368,obv,light
755368,rev,light
755382,rev,light
755381,obv,light
755381,rev,light
755383,obv,light
755383,rev,light
755384,obv,light
755384,rev,light
755385,rev,light
755391,rev,light
755394,obv,light
755394,rev,light
755395,rev,light
755397,obv,light
755397,rev,light
755402,obv,light
755402,rev,light
755521,obv,light
755521,rev,light
755553,obv,light
755553,rev,light
755570,obv,light
755574,rev,light
755582,obv,light
755582,rev,light
755604,obv,light
755604,rev,light
755612,obv,light
755612,rev,light
755614,obv,light
755614,rev,light
755613,obv,light
755613,rev,light
755616,obv,light
755616,rev,light
755617,obv,light
755617,rev,light
755619,obv,light
755619,rev,light
755618,obv,light
755618,rev,light
755654,obv,light
755654,rev,light
755660,obv,light
755660,rev,light
755710,obv,light
755710,rev,light
755709,rev,light
755711,obv,light
755445,rev,dark_sample
755403,obv,dark_sample
755540,obv,dark_sample
755526,rev,dark_sample
755510,rev,dark_sample
755462,rev,dark_sample
755443,rev,dark_sample
755437,obv,dark_sample
755632,rev,dark_sample
755407,rev,dark_sample
755406,rev,dark_sample
755439,obv,dark_sample
755506,obv,dark_sample
755515,rev,dark_sample
755404,obv,dark_sample
755500,obv,dark_sample
755630,obv,dark_sample
755509,obv,dark_sample
755657,obv,dark_sample
755543,rev,dark_sample
755366,rev,dark_sample
755477,obv,dark_sample
755579,rev,dark_sample
755475,obv,dark_sample
755508,rev,dark_sample
755578,rev,dark_sample
755438,rev,dark_sample
755601,obv,dark_sample
755442,obv,dark_sample
755590,obv,dark_sample
755583,rev,dark_sample
755532,rev,dark_sample
755414,rev,dark_sample
755669,rev,dark_sample
755455,obv,dark_sample
755599,obv,dark_sample
755432,rev,dark_sample
755549,rev,dark_sample
755591,rev,dark_sample
755495,rev,dark_sample
755425,obv,dark_sample
755413,rev,dark_sample
755511,obv,dark_sample
755546,rev,dark_sample
755430,obv,dark_sample
755443,obv,dark_sample
755658,rev,dark_sample
755594,obv,dark_sample
755478,rev,dark_sample
755595,obv,dark_sample
755588,obv,dark_sample
755503,rev,dark_sample
755536,obv,dark_sample
755429,obv,dark_sample
755484,obv,dark_sample
755479,obv,dark_sample
755673,obv,dark_sample
755599,rev,dark_sample
755539,rev,dark_sample
755506,rev,dark_sample
