id,side,mode,off_value,on_value,sha_off,sha_on,shape_off,shape_on,masked_off,masked_on,verdict
755363,obv,query518,96.0,75.0,956c782a297250e1,956c782a297250e1,"(371, 368, 4)","(371, 368, 4)",True,True,IDENTICAL
755363,obv,fullres,96.0,75.0,49be795b29b5e023,49be795b29b5e023,"(1080, 1075, 4)","(1080, 1075, 4)",True,True,IDENTICAL
755379,rev,query518,31.488,75.0,1557e295dad3603f,1557e295dad3603f,"(369, 381, 4)","(369, 381, 4)",True,True,IDENTICAL
755379,rev,fullres,31.488,75.0,c0f764378fd531dd,c0f764378fd531dd,"(1082, 1122, 4)","(1082, 1122, 4)",True,True,IDENTICAL
755395,rev,query518,96.0,75.0,90383156cdeed59e,90383156cdeed59e,"(362, 381, 4)","(362, 381, 4)",True,True,IDENTICAL
755395,rev,fullres,96.0,75.0,840ed6b9cfa6b684,840ed6b9cfa6b684,"(1052, 1113, 4)","(1052, 1113, 4)",True,True,IDENTICAL
755401,rev,query518,28.392,75.0,186beb390a6b30d9,186beb390a6b30d9,"(361, 386, 4)","(361, 386, 4)",True,True,IDENTICAL
755401,rev,fullres,28.392,75.0,43a0a9d24e455d46,43a0a9d24e455d46,"(1063, 1125, 4)","(1063, 1125, 4)",True,True,IDENTICAL
755428,rev,query518,30.079,75.0,b96849ee1786f7bb,b96849ee1786f7bb,"(360, 361, 4)","(360, 361, 4)",True,True,IDENTICAL
755428,rev,fullres,30.079,75.0,1c59a519a337da49,1c59a519a337da49,"(1114, 1087, 4)","(1114, 1087, 4)",True,True,IDENTICAL
755432,rev,query518,30.177,75.0,0e78b289b41487a2,0e78b289b41487a2,"(340, 371, 4)","(340, 371, 4)",True,True,IDENTICAL
755432,rev,fullres,30.177,75.0,f29b1b5f95de531b,f29b1b5f95de531b,"(1184, 1096, 4)","(1184, 1096, 4)",True,True,IDENTICAL
755437,obv,query518,32.981,75.0,977dc92776b9da4c,977dc92776b9da4c,"(357, 375, 4)","(357, 375, 4)",True,True,IDENTICAL
755437,obv,fullres,32.981,75.0,d80f163c9f4fa477,d80f163c9f4fa477,"(951, 814, 4)","(951, 814, 4)",True,True,IDENTICAL
755443,rev,query518,29.777,75.0,5031d956c7819bf3,5031d956c7819bf3,"(355, 368, 4)","(355, 368, 4)",True,True,IDENTICAL
755443,rev,fullres,29.777,75.0,7f386595d1039864,7f386595d1039864,"(1048, 1091, 4)","(1048, 1091, 4)",True,True,IDENTICAL
755450,obv,query518,34.17,75.0,147101e79d832b5f,147101e79d832b5f,"(368, 368, 4)","(368, 368, 4)",True,True,IDENTICAL
755450,obv,fullres,34.17,75.0,ccb48aa153438dd9,ccb48aa153438dd9,"(1071, 1091, 4)","(1071, 1091, 4)",True,True,IDENTICAL
755451,rev,query518,30.845,75.0,37edbddfc7f12ac6,37edbddfc7f12ac6,"(354, 361, 4)","(354, 361, 4)",True,True,IDENTICAL
755451,rev,fullres,30.845,75.0,76bace61ed3d8d44,76bace61ed3d8d44,"(1063, 1056, 4)","(1063, 1056, 4)",True,True,IDENTICAL
755453,rev,query518,30.963,75.0,0e0255d7042e7f03,0e0255d7042e7f03,"(357, 357, 4)","(357, 357, 4)",True,True,IDENTICAL
755453,rev,fullres,30.963,75.0,b5af59f9f8fa6e24,b5af59f9f8fa6e24,"(1128, 1071, 4)","(1128, 1071, 4)",True,True,IDENTICAL
755456,rev,query518,31.456,75.0,cbb4d02f4db32102,cbb4d02f4db32102,"(421, 458, 4)","(421, 458, 4)",True,True,IDENTICAL
755456,rev,fullres,31.456,75.0,8c93ae61d298e2f5,8c93ae61d298e2f5,"(1033, 1045, 4)","(1033, 1045, 4)",True,True,IDENTICAL
755459,obv,query518,30.49,75.0,1397eb468717c246,1397eb468717c246,"(355, 358, 4)","(355, 358, 4)",True,True,IDENTICAL
755459,obv,fullres,30.49,75.0,ab79bfc7ddcc066e,ab79bfc7ddcc066e,"(1041, 1042, 4)","(1041, 1042, 4)",True,True,IDENTICAL
755462,obv,query518,30.299,75.0,81a5313582d309af,81a5313582d309af,"(356, 356, 4)","(356, 356, 4)",True,True,IDENTICAL
755462,obv,fullres,30.299,75.0,beae3bd66bcab1bf,beae3bd66bcab1bf,"(1103, 1077, 4)","(1103, 1077, 4)",True,True,IDENTICAL
755480,rev,query518,32.265,75.0,4d79cdbf65780d35,4d79cdbf65780d35,"(413, 413, 4)","(413, 413, 4)",True,True,IDENTICAL
755480,rev,fullres,32.265,75.0,d043e54acb85b3fa,d043e54acb85b3fa,"(1009, 1167, 4)","(1009, 1167, 4)",True,True,IDENTICAL
755494,rev,query518,27.513,75.0,65d8298fe820e66f,65d8298fe820e66f,"(381, 363, 4)","(381, 363, 4)",True,True,IDENTICAL
755494,rev,fullres,27.513,75.0,4f5d0f7483313ad9,4f5d0f7483313ad9,"(1015, 1060, 4)","(1015, 1060, 4)",True,True,IDENTICAL
755498,rev,query518,30.815,75.0,ae1f051fca1ee831,ae1f051fca1ee831,"(407, 408, 4)","(407, 408, 4)",True,True,IDENTICAL
755498,rev,fullres,30.815,75.0,0a20e3af96c3a906,0a20e3af96c3a906,"(1202, 1195, 4)","(1202, 1195, 4)",True,True,IDENTICAL
755504,rev,query518,31.111,75.0,a0c8b09f21e2bbae,a0c8b09f21e2bbae,"(424, 465, 4)","(424, 465, 4)",True,True,IDENTICAL
755504,rev,fullres,31.111,75.0,836360d20deae316,836360d20deae316,"(1216, 1326, 4)","(1216, 1326, 4)",True,True,IDENTICAL
755506,obv,query518,30.964,75.0,75d203f7ff7a9beb,75d203f7ff7a9beb,"(476, 518, 4)","(476, 518, 4)",True,True,IDENTICAL
755506,obv,fullres,30.964,75.0,2a2febf371f0382b,2a2febf371f0382b,"(1260, 1482, 4)","(1260, 1482, 4)",True,True,IDENTICAL
