id,side,off_value,off_bg_type,on_value,on_bg_type,ring_truth,off_err,on_err,off_thresh,on_thresh,crosses_110,value_changed
755357,obv,96.0,mixed,75.0,dark,78.944,17.056,-3.944,BINARY,BINARY,False,True
755357,rev,96.0,mixed,75.0,dark,78.952,17.048,-3.952,BINARY,BINARY,False,True
755362,obv,29.532,dark,75.0,dark,78.944,-49.412,-3.944,BINARY,BINARY,False,True
755362,rev,29.932,dark,75.0,dark,78.952,-49.02,-3.952,BINARY,BINARY,False,True
755363,obv,96.0,mixed,75.0,dark,78.944,17.056,-3.944,BINARY,BINARY,False,True
755363,rev,96.0,mixed,75.0,dark,78.952,17.048,-3.952,BINARY,BINARY,False,True
755365,obv,29.971,dark,75.0,dark,78.944,-48.972,-3.944,BINARY,BINARY,False,True
755365,rev,28.989,dark,75.0,dark,78.952,-49.963,-3.952,BINARY,BINARY,False,True
755366,obv,96.0,mixed,75.0,dark,78.944,17.056,-3.944,BINARY,BINARY,False,True
755366,rev,33.532,dark,75.0,dark,78.952,-45.42,-3.952,BINARY,BINARY,False,True
755368,obv,96.0,mixed,75.0,dark,78.944,17.056,-3.944,BINARY,BINARY,False,True
755368,rev,96.0,mixed,75.0,dark,78.952,17.048,-3.952,BINARY,BINARY,False,True
755369,obv,31.117,dark,75.0,dark,78.944,-47.826,-3.944,BINARY,BINARY,False,True
755369,rev,30.36,dark,75.0,dark,78.952,-48.592,-3.952,BINARY,BINARY,False,True
755377,obv,96.0,mixed,75.0,dark,78.944,17.056,-3.944,BINARY,BINARY,False,True
755377,rev,96.0,mixed,75.0,dark,78.952,17.048,-3.952,BINARY,BINARY,False,True
755379,obv,31.75,dark,75.0,dark,78.944,-47.193,-3.944,BINARY,BINARY,False,True
755379,rev,31.488,dark,75.0,dark,78.952,-47.464,-3.952,BINARY,BINARY,False,True
755380,obv,31.03,dark,75.0,dark,78.944,-47.914,-3.944,BINARY,BINARY,False,True
755380,rev,29.739,dark,75.0,dark,78.952,-49.212,-3.952,BINARY,BINARY,False,True
755381,obv,96.0,mixed,75.0,dark,78.944,17.056,-3.944,BINARY,BINARY,False,True
755381,rev,96.0,mixed,75.0,dark,78.952,17.048,-3.952,BINARY,BINARY,False,True
755382,obv,32.138,dark,75.0,dark,78.944,-46.806,-3.944,BINARY,BINARY,False,True
755382,rev,96.0,mixed,75.0,dark,78.952,17.048,-3.952,BINARY,BINARY,False,True
755383,obv,96.0,mixed,75.0,dark,78.944,17.056,-3.944,BINARY,BINARY,False,True
755383,rev,96.0,mixed,75.0,dark,78.952,17.048,-3.952,BINARY,BINARY,False,True
755384,obv,96.0,mixed,75.0,dark,78.944,17.056,-3.944,BINARY,BINARY,False,True
755384,rev,96.0,mixed,75.0,dark,78.952,17.048,-3.952,BINARY,BINARY,False,True
