id,side,off_value,off_bg_type,on_value,on_bg_type,ring_truth,off_err,on_err,off_thresh,on_thresh,crosses_110,value_changed
755357,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755362,full,29.687,dark,75.0,dark,77.885,-48.199,-2.885,BINARY,BINARY,False,True
755363,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755365,full,29.425,dark,75.0,dark,77.885,-48.46,-2.885,BINARY,BINARY,False,True
755366,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755368,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755369,full,30.795,dark,75.0,dark,77.885,-47.091,-2.885,BINARY,BINARY,False,True
755377,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755379,full,31.628,dark,75.0,dark,77.885,-46.257,-2.885,BINARY,BINARY,False,True
755380,full,30.439,dark,75.0,dark,77.885,-47.446,-2.885,BINARY,BINARY,False,True
755381,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755382,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755383,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755384,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755385,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755387,full,30.029,dark,75.0,dark,77.885,-47.857,-2.885,BINARY,BINARY,False,True
755391,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755392,full,30.049,dark,75.0,dark,77.885,-47.836,-2.885,BINARY,BINARY,False,True
755393,full,31.117,dark,75.0,dark,77.885,-46.768,-2.885,BINARY,BINARY,False,True
755394,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755395,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755396,full,30.721,dark,75.0,dark,77.885,-47.164,-2.885,BINARY,BINARY,False,True
755397,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755401,full,28.995,dark,75.0,dark,77.885,-48.89,-2.885,BINARY,BINARY,False,True
755402,full,96.0,mixed,75.0,dark,77.885,18.115,-2.885,BINARY,BINARY,False,True
755403,full,31.624,dark,75.0,dark,77.885,-46.261,-2.885,BINARY,BINARY,False,True
755404,full,31.862,dark,75.0,dark,77.885,-46.023,-2.885,BINARY,BINARY,False,True
755406,full,31.135,dark,75.0,dark,77.885,-46.75,-2.885,BINARY,BINARY,False,True
755407,full,28.948,dark,75.0,dark,77.885,-48.937,-2.885,BINARY,BINARY,False,True
755408,full,27.381,dark,75.0,dark,77.885,-50.504,-2.885,BINARY,BINARY,False,True
755409,full,30.692,dark,75.0,dark,77.885,-47.193,-2.885,BINARY,BINARY,False,True
755410,full,29.53,dark,75.0,dark,77.885,-48.355,-2.885,BINARY,BINARY,False,True
755411,full,32.132,dark,75.0,dark,77.885,-45.753,-2.885,BINARY,BINARY,False,True
755412,full,31.097,dark,75.0,dark,77.885,-46.788,-2.885,BINARY,BINARY,False,True
755413,full,30.303,dark,75.0,dark,77.885,-47.582,-2.885,BINARY,BINARY,False,True
755414,full,29.19,dark,75.0,dark,77.885,-48.695,-2.885,BINARY,BINARY,False,True
755415,full,30.7,dark,75.0,dark,77.885,-47.185,-2.885,BINARY,BINARY,False,True
755416,full,29.493,dark,75.0,dark,77.885,-48.392,-2.885,BINARY,BINARY,False,True
755417,full,28.318,dark,75.0,dark,77.885,-49.567,-2.885,BINARY,BINARY,False,True
755418,full,30.915,dark,75.0,dark,77.885,-46.97,-2.885,BINARY,BINARY,False,True
755419,full,32.843,dark,75.0,dark,77.885,-45.043,-2.885,BINARY,BINARY,False,True
755420,full,34.18,dark,75.0,dark,77.885,-43.705,-2.885,BINARY,BINARY,False,True
755421,full,28.803,dark,75.0,dark,77.885,-49.082,-2.885,BINARY,BINARY,False,True
755422,full,29.3,dark,75.0,dark,77.885,-48.585,-2.885,BINARY,BINARY,False,True
