id,side,contour_idx,area_frac_frame,circularity,area_ratio,enc_r,roi_w,roi_h,roi_px,touches_border,geo_conf,geo_wall_s,geo_cpu_s,hough_ran,hough_found,hough_conf,hough_wall_s,hough_cpu_s,recover_wall_s,recover_cpu_s,final_conf,accepted,branch,iou_vs_seed,radius_ratio,area_ratio_final_vs_seed
755362,obv,3,0.00026,0.2973,0.2599,26.3,62,41,2542,False,0.3352,0.022,0.05,True,False,0.0,0.001,0.003,0.023,0.053,0.3352,True,geo,0.4073,0.635,1.443
755362,obv,11,0.00031,0.3751,0.2074,31.9,64,48,3072,False,0.3247,0.018,0.043,True,False,0.0,0.001,0.003,0.019,0.046,0.3247,True,geo,0.3217,0.6959,2.2035
755362,obv,25,0.00063,0.5484,0.4301,31.8,67,54,3618,False,0.53,0.02,0.044,True,False,0.0,0.001,0.004,0.021,0.048,0.53,True,geo,0.6822,0.7198,1.1419
755362,obv,28,0.03792,0.1119,0.3259,282.8,501,581,291081,False,0.5135,0.018,0.041,True,True,0.2586,1.53,4.366,1.547,4.408,0.2586,False,hough,,,
755362,obv,30,0.0008,0.2031,0.1771,55.8,104,104,10816,False,0.3871,0.014,0.042,True,True,0.2135,0.003,0.006,0.017,0.048,0.3871,True,geo,0.1728,0.7601,3.1718
755362,obv,38,0.00051,0.3535,0.3391,32.1,77,58,4466,False,0.5049,0.016,0.044,True,False,0.0,0.001,0.004,0.017,0.048,0.5049,True,geo,0.5368,0.6994,1.3694
755362,obv,39,0.00373,0.2229,0.2946,93.3,140,220,30800,False,0.4587,0.014,0.042,True,True,0.1753,0.008,0.031,0.023,0.073,0.4587,True,geo,0.3046,0.7333,1.7929
755362,obv,50,0.00601,0.2633,0.3666,106.1,202,219,44238,False,0.5297,0.014,0.04,True,True,0.1861,0.016,0.06,0.03,0.1,0.1861,True,hough,0.3576,0.7701,1.5955
755362,obv,53,0.00039,0.343,0.2056,36.1,39,87,3393,False,0.3458,0.017,0.044,True,False,0.0,0.001,0.003,0.018,0.047,0.3458,True,geo,0.2465,0.8331,3.2515
755362,obv,54,0.02569,0.1164,0.1835,310.2,401,703,281903,False,0.4073,0.016,0.046,True,True,0.1764,0.447,1.517,0.463,1.562,0.4073,True,geo,0.4286,0.5359,1.5539
755362,obv,71,0.00062,0.2784,0.1697,50.2,85,88,7480,False,0.308,0.015,0.043,True,False,0.0,0.001,0.004,0.017,0.047,0.308,True,geo,0.2614,0.7211,2.9677
755362,obv,79,0.0084,0.0666,0.1214,218.2,325,445,144625,False,0.343,0.014,0.04,True,True,0.1356,0.016,0.054,0.03,0.094,0.343,False,geo,,,
755362,obv,96,0.00016,0.1391,0.1182,30.7,64,45,2880,False,0.2876,0.013,0.039,True,False,0.0,0.001,0.003,0.014,0.042,0.2876,True,geo,0.2324,0.6286,3.1371
755362,obv,103,0.05482,0.0824,0.1662,476.3,668,1141,762188,False,0.4336,0.015,0.041,True,True,0.2082,5.919,16.204,5.934,16.245,0.4336,False,geo,,,
755362,obv,106,0.08064,0.023,0.3028,427.9,842,865,728330,False,0.4937,0.016,0.038,True,True,0.1989,10.15,29.278,10.166,29.316,0.1989,False,hough,,,
755387,rev,11,0.00162,0.1557,0.1345,91.1,207,118,24426,False,0.3039,0.019,0.054,True,False,0.0,0.001,0.004,0.02,0.058,0.3039,False,geo,,,
