house,sale_id,lot_id,lot_number,w,h,outcome_changed,binary_iou,alpha_iou,control.ndets,control.hough,control.blobs_post_close,control.bboxes,control.sliver_pairs,control.sliver_contour_px,control.sliver_contour_frac,control.sliver_circle_px,control.sliver_circle_frac,control.sliverd3_pairs,control.sliverd3_contour_px,control.sliverd3_contour_frac,control.sliverd3_circle_px,control.sliverd3_circle_frac,auto.ndets,auto.hough,auto.blobs_post_close,auto.bboxes,auto.sliver_pairs,auto.sliver_contour_px,auto.sliver_contour_frac,auto.sliver_circle_px,auto.sliver_circle_frac,auto.sliverd3_pairs,auto.sliverd3_contour_px,auto.sliverd3_contour_frac,auto.sliverd3_circle_px,auto.sliverd3_circle_frac
cng_feature,Auction 91,736310,215268,500,238,1,0.92743,0.82846,2,1,1,"0,0,239,238;259,0,241,238",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"252,0,248,238;0,0,247,234",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736320,215274,500,249,1,0.95806,0.85008,2,1,1,"0,0,250,245;236,0,262,245",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"254,0,246,249;0,1,247,248",2,0,0.0,0,0.0,2,0,0.0,42,0.00091
cng_feature,Auction 91,736331,215280,500,241,1,0.95054,0.8345,2,1,1,"0,0,242,241;243,0,252,240",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"0,0,245,241;250,0,250,241",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736342,215286,500,243,1,0.82937,0.87168,2,1,1,"2,0,248,237;249,0,251,243",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"0,3,246,240;254,3,246,237",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736353,215292,500,237,1,0.96754,0.87049,2,1,1,"0,0,236,237;250,0,250,237",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"251,0,249,237;0,3,246,234",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736364,215298,500,290,1,0.8087,0.84657,2,1,1,"0,0,256,265;235,0,265,282",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"247,12,266,267;0,18,259,259",2,580,0.01106,566,0.01061,2,840,0.01602,825,0.01545
cng_feature,Auction 91,736375,215304,500,238,1,0.85804,0.6821,2,1,1,"4,5,220,220;249,11,232,227",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"254,0,246,238;0,0,248,238",2,0,0.0,0,0.0,2,0,0.0,12,0.00026
cng_feature,Auction 91,736388,215311,500,248,1,0.888,0.92452,2,1,1,"0,0,251,248;235,0,265,248",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"0,0,244,248;253,6,247,238",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736399,215317,500,243,1,0.88942,0.84197,2,1,1,"0,0,235,243;261,0,239,243",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"0,0,241,243;247,10,253,223",2,0,0.0,78,0.00174,2,0,0.0,231,0.00516
cng_feature,Auction 91,736409,215323,500,245,1,0.8043,0.88189,2,1,1,"0,0,250,245;254,1,246,244",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"256,0,244,245;0,3,249,238",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736421,215329,500,243,1,0.81677,0.89674,2,1,1,"0,0,259,243;234,0,254,243",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"0,0,243,240;251,10,249,223",2,0,0.0,0,0.0,2,0,0.0,0,0.0
cng_feature,Auction 91,736431,215335,500,242,1,0.78697,0.87169,2,1,1,"0,0,253,242;251,0,249,242",2,0,0.0,0,0.0,2,0,0.0,0,0.0,2,0,2,"0,0,249,242;255,11,245,231",2,0,0.0,0,0.0,2,0,0.0,0,0.0
