id,side,lane,config,alpha_iou_vs_baseline,status,wall_s,cpu_s,n_detections,n_rim_recovered,rim_recovered
755357,obv,ingest,baseline,1.0,success,0.077,0.142,1,0,0
755357,obv,ingest,cap800,1.0,success,0.084,0.136,1,0,0
755357,obv,query,baseline,1.0,success,0.086,0.147,1,0,0
755357,obv,query,cap800,1.0,success,0.072,0.13,1,0,0
755357,rev,ingest,baseline,1.0,success,0.111,0.166,1,0,0
755357,rev,ingest,cap800,1.0,success,0.117,0.173,1,0,0
755357,rev,query,baseline,1.0,success,0.135,0.192,1,0,0
755357,rev,query,cap800,1.0,success,0.111,0.163,1,0,0
755377,obv,ingest,baseline,1.0,success,24.692,75.664,2,2,1;1
755377,obv,ingest,cap800,0.9421622870176882,success,5.273,17.028,2,2,1;1
755377,obv,query,baseline,1.0,success,49.619,125.699,2,2,1;1
755377,obv,query,cap800,0.9383352200762257,success,8.676,19.167,2,2,1;1
755377,rev,ingest,baseline,1.0,success,49.796,111.336,2,0,0;0
755377,rev,ingest,cap800,0.5365081129139809,success,19.253,41.154,2,1,1;0
755377,rev,query,baseline,1.0,success,44.755,100.89,2,0,0;0
755377,rev,query,cap800,0.5343464687873909,success,20.373,42.623,2,1,1;0
755385,obv,ingest,baseline,1.0,success,0.128,0.196,1,0,0
755385,obv,ingest,cap800,1.0,success,0.091,0.149,1,0,0
755385,obv,query,baseline,1.0,success,0.129,0.215,1,0,0
755385,obv,query,cap800,1.0,success,0.109,0.171,1,0,0
755385,rev,ingest,baseline,1.0,success,0.139,0.197,1,0,0
755385,rev,ingest,cap800,1.0,success,0.13,0.191,1,0,0
755385,rev,query,baseline,1.0,success,0.143,0.199,1,0,0
755385,rev,query,cap800,1.0,success,0.174,0.215,1,0,0
755396,obv,ingest,baseline,1.0,success,0.111,0.143,1,0,0
755396,obv,ingest,cap800,1.0,success,0.09,0.135,1,0,0
755396,obv,query,baseline,1.0,success,0.099,0.152,1,0,0
755396,obv,query,cap800,1.0,success,0.12,0.184,1,0,0
755396,rev,ingest,baseline,1.0,success,0.106,0.149,1,0,0
755396,rev,ingest,cap800,1.0,success,0.107,0.159,1,0,0
755396,rev,query,baseline,1.0,success,0.106,0.169,1,0,0
755396,rev,query,cap800,1.0,success,0.109,0.158,1,0,0
755407,obv,ingest,baseline,1.0,success,0.323,0.495,1,0,0
755407,obv,ingest,cap800,1.0,success,0.301,0.417,1,0,0
755407,obv,query,baseline,1.0,success,0.282,0.441,1,0,0
755407,obv,query,cap800,1.0,success,0.304,0.427,1,0,0
755407,rev,ingest,baseline,1.0,success,0.474,0.88,3,2,0;1;1
755407,rev,ingest,cap800,1.0,success,0.495,0.945,3,2,0;1;1
755407,rev,query,baseline,1.0,success,0.478,0.894,3,2,0;1;1
755407,rev,query,cap800,1.0,success,0.507,0.923,3,2,0;1;1
755414,obv,ingest,baseline,1.0,success,26.813,70.787,1,1,1
755414,obv,ingest,cap800,0.802124417972405,success,5.322,13.058,4,3,0;1;1;1
755414,obv,query,baseline,1.0,success,31.631,72.007,1,1,1
755414,obv,query,cap800,0.8087507044115294,success,5.609,13.338,4,3,0;1;1;1
755414,rev,ingest,baseline,1.0,success,24.815,60.072,2,2,1;1
755414,rev,ingest,cap800,1.0,success,5.344,12.68,2,2,1;1
755414,rev,query,baseline,1.0,success,31.302,70.171,2,2,1;1
755414,rev,query,cap800,1.0,success,5.49,15.511,2,2,1;1
755421,obv,ingest,baseline,1.0,success,0.236,0.532,1,0,0
755421,obv,ingest,cap800,1.0,success,0.233,0.515,1,0,0
755421,obv,query,baseline,1.0,success,0.242,0.547,1,0,0
755421,obv,query,cap800,1.0,success,0.23,0.517,1,0,0
755421,rev,ingest,baseline,1.0,success,0.18,0.366,2,1,0;1
755421,rev,ingest,cap800,1.0,success,0.173,0.371,2,1,0;1
755421,rev,query,baseline,1.0,success,0.148,0.314,2,1,0;1
755421,rev,query,cap800,1.0,success,0.136,0.313,2,1,0;1
755428,obv,ingest,baseline,1.0,success,0.413,1.065,5,4,0;1;1;1;1
755428,obv,ingest,cap800,1.0,success,0.398,1.01,5,4,0;1;1;1;1
755428,obv,query,baseline,1.0,success,0.381,1.003,5,4,0;1;1;1;1
755428,obv,query,cap800,1.0,success,0.427,1.101,5,4,0;1;1;1;1
755428,rev,ingest,baseline,1.0,success,0.297,0.711,3,2,0;1;1
755428,rev,ingest,cap800,1.0,success,0.284,0.682,3,2,0;1;1
755428,rev,query,baseline,1.0,success,0.253,0.607,3,2,0;1;1
755428,rev,query,cap800,1.0,success,0.247,0.621,3,2,0;1;1
755435,obv,ingest,baseline,1.0,success,36.994,110.665,5,5,1;1;1;1;1
755435,obv,ingest,cap800,1.0,success,7.093,19.889,5,5,1;1;1;1;1
755435,obv,query,baseline,1.0,success,35.334,105.347,5,5,1;1;1;1;1
755435,obv,query,cap800,1.0,success,7.539,16.552,5,5,1;1;1;1;1
755435,rev,ingest,baseline,1.0,success,53.007,136.659,1,1,1
755435,rev,ingest,cap800,1.0,success,8.333,19.135,1,1,1
755435,rev,query,baseline,1.0,success,52.436,137.614,1,1,1
755435,rev,query,cap800,1.0,success,6.274,18.625,1,1,1
755442,obv,ingest,baseline,1.0,success,24.637,79.867,5,5,1;1;1;1;1
755442,obv,ingest,cap800,1.0,success,4.73,12.928,5,5,1;1;1;1;1
755442,obv,query,baseline,1.0,success,21.426,67.829,5,5,1;1;1;1;1
755442,obv,query,cap800,1.0,success,4.191,12.707,5,5,1;1;1;1;1
755442,rev,ingest,baseline,1.0,success,29.649,86.592,5,5,1;1;1;1;1
755442,rev,ingest,cap800,1.0,success,6.67,15.592,5,5,1;1;1;1;1
