id,side,lane,config,alpha_iou_vs_baseline,status,wall_s,cpu_s,n_detections,n_rim_recovered,rim_recovered
755357,obv,ingest,baseline,1.0,success,0.089,0.161,1,0,0
755357,obv,ingest,cap1024,1.0,success,0.083,0.149,1,0,0
755357,obv,query,baseline,1.0,success,0.087,0.149,1,0,0
755357,obv,query,cap1024,1.0,success,0.087,0.141,1,0,0
755357,rev,ingest,baseline,1.0,success,0.159,0.198,1,0,0
755357,rev,ingest,cap1024,1.0,success,0.148,0.209,1,0,0
755357,rev,query,baseline,1.0,success,0.13,0.187,1,0,0
755357,rev,query,cap1024,1.0,success,0.129,0.185,1,0,0
755377,obv,ingest,baseline,1.0,success,28.597,88.309,2,2,1;1
755377,obv,ingest,cap1024,0.938477625777519,success,18.165,54.165,2,2,1;1
755377,obv,query,baseline,1.0,success,38.096,107.025,2,2,1;1
755377,obv,query,cap1024,0.934425821853086,success,17.637,53.102,2,2,1;1
755377,rev,ingest,baseline,1.0,success,39.21,110.848,2,0,0;0
755377,rev,ingest,cap1024,0.6583842383137262,success,29.372,80.965,2,1,1;0
755377,rev,query,baseline,1.0,success,36.322,106.541,2,0,0;0
755377,rev,query,cap1024,0.656685955809742,success,24.808,77.356,2,1,1;0
755385,obv,ingest,baseline,1.0,success,0.067,0.124,1,0,0
755385,obv,ingest,cap1024,1.0,success,0.067,0.125,1,0,0
755385,obv,query,baseline,1.0,success,0.071,0.128,1,0,0
755385,obv,query,cap1024,1.0,success,0.07,0.125,1,0,0
755385,rev,ingest,baseline,1.0,success,0.118,0.177,1,0,0
755385,rev,ingest,cap1024,1.0,success,0.114,0.169,1,0,0
755385,rev,query,baseline,1.0,success,0.114,0.172,1,0,0
755385,rev,query,cap1024,1.0,success,0.101,0.155,1,0,0
755396,obv,ingest,baseline,1.0,success,0.065,0.122,1,0,0
755396,obv,ingest,cap1024,1.0,success,0.061,0.121,1,0,0
755396,obv,query,baseline,1.0,success,0.063,0.124,1,0,0
755396,obv,query,cap1024,1.0,success,0.064,0.124,1,0,0
755396,rev,ingest,baseline,1.0,success,0.071,0.133,1,0,0
755396,rev,ingest,cap1024,1.0,success,0.069,0.132,1,0,0
755396,rev,query,baseline,1.0,success,0.069,0.131,1,0,0
755396,rev,query,cap1024,1.0,success,0.068,0.132,1,0,0
755407,obv,ingest,baseline,1.0,success,0.193,0.429,1,0,0
755407,obv,ingest,cap1024,1.0,success,0.186,0.418,1,0,0
755407,obv,query,baseline,1.0,success,0.184,0.42,1,0,0
755407,obv,query,cap1024,1.0,success,0.198,0.455,1,0,0
755407,rev,ingest,baseline,1.0,success,0.355,0.888,3,2,0;1;1
755407,rev,ingest,cap1024,1.0,success,0.328,0.835,3,2,0;1;1
755407,rev,query,baseline,1.0,success,0.307,0.774,3,2,0;1;1
755407,rev,query,cap1024,1.0,success,0.331,0.853,3,2,0;1;1
755414,obv,ingest,baseline,1.0,success,22.382,73.753,1,1,1
755414,obv,ingest,cap1024,1.0,success,9.611,31.343,1,1,1
755414,obv,query,baseline,1.0,success,22.997,71.321,1,1,1
755414,obv,query,cap1024,1.0,success,10.128,31.27,1,1,1
755414,rev,ingest,baseline,1.0,success,22.638,65.677,2,2,1;1
755414,rev,ingest,cap1024,1.0,success,9.469,30.299,2,2,1;1
755414,rev,query,baseline,1.0,success,23.806,70.578,2,2,1;1
755414,rev,query,cap1024,1.0,success,11.032,34.266,2,2,1;1
755421,obv,ingest,baseline,1.0,success,0.231,0.513,1,0,0
755421,obv,ingest,cap1024,1.0,success,0.189,0.456,1,0,0
755421,obv,query,baseline,1.0,success,0.214,0.502,1,0,0
755421,obv,query,cap1024,1.0,success,0.216,0.504,1,0,0
755421,rev,ingest,baseline,1.0,success,0.141,0.317,2,1,0;1
755421,rev,ingest,cap1024,1.0,success,0.152,0.339,2,1,0;1
755421,rev,query,baseline,1.0,success,0.138,0.31,2,1,0;1
755421,rev,query,cap1024,1.0,success,0.135,0.304,2,1,0;1
755428,obv,ingest,baseline,1.0,success,0.374,1.013,5,4,0;1;1;1;1
755428,obv,ingest,cap1024,1.0,success,0.497,0.988,5,4,0;1;1;1;1
755428,obv,query,baseline,1.0,success,0.413,0.916,5,4,0;1;1;1;1
755428,obv,query,cap1024,1.0,success,0.449,1.007,5,4,0;1;1;1;1
755428,rev,ingest,baseline,1.0,success,0.358,0.628,3,2,0;1;1
755428,rev,ingest,cap1024,1.0,success,0.305,0.643,3,2,0;1;1
