lot_number,lot_id,cpu_s
1289,736024,205.559
1070,735809,139.063
1030,735769,36.502
1260,735995,34.499
1195,735931,23.662
1152,735890,0.198
1283,736018,0.195
1176,735914,0.19
1225,735960,0.186
1094,735832,0.182
1277,736012,0.18
1012,735751,0.174
1243,735978,0.173
1218,735954,0.171
1041,735780,0.17
1254,735989,0.17
1047,735786,0.168
1237,735972,0.168
1018,735757,0.167
1106,735844,0.162
1170,735908,0.162
1089,735827,0.158
1231,735966,0.158
1083,735821,0.156
1135,735873,0.155
1141,735879,0.155
1059,735798,0.154
1201,735937,0.154
1158,735896,0.152
1272,736007,0.152
1187,735925,0.151
1164,735902,0.147
1207,735943,0.147
1001,735740,0.146
1035,735774,0.145
1129,735867,0.145
1147,735885,0.145
1123,735861,0.144
1100,735838,0.138
1212,735948,0.132
1053,735792,0.13
1077,735815,0.127
1248,735983,0.127
1118,735856,0.12
1181,735919,0.119
1266,736001,0.093
1024,735763,0.079
1006,735745,0.076
1064,735803,0.054
1112,735850,0.046
