id,side,contour_idx,roi_px,area_frac_frame,ar@0.25,ar@0.33,ar@0.5,ar@1.0,ar_approx1pct,ar_hull,ar_morph_k17,ar_morph_k19,ar_morph_k21,ar_morph_k23,ar_morph_k25,ar_morph_k27,ar_morph_k29,ar_morph_k35,circ@0.25,circ@0.33,circ@0.5,circ@1.0,circ_approx1pct,circ_hull,circ_morph_k17,circ_morph_k19,circ_morph_k21,circ_morph_k23,circ_morph_k25,circ_morph_k27,circ_morph_k29,circ_morph_k35,trig@0.25,trig@0.33,trig@0.5,trig@1.0,trig_approx1pct,trig_hull,trig_morph_k17,trig_morph_k19,trig_morph_k21,trig_morph_k23,trig_morph_k25,trig_morph_k27,trig_morph_k29,trig_morph_k35
755362,obv,103,762188,0.05482,,,,0.1662,0.138,0.4251,,0.1739,,,,,,,,,,0.0824,0.1129,0.7028,,0.1542,,,,,,,,,,True,True,False,,True,,,,,,
755362,obv,106,728330,0.08064,,,,0.3028,0.3052,0.6453,0.2632,,,,,,,,,,,0.023,0.0783,0.8874,0.1246,,,,,,,,,,,True,True,False,True,,,,,,,
755377,obv,115,1341837,0.2079,0.7523,0.7334,0.7363,0.5582,0.459,0.8509,,,0.5369,,,,,,0.2821,0.2289,0.1699,0.0225,0.1283,0.9738,,,0.0885,,,,,,True,True,True,True,True,False,,,True,,,,,
755387,rev,146,1498880,0.33877,0.8129,0.8057,0.8086,0.7842,0.7894,0.8466,,,,0.8406,,,,,0.6573,0.5525,0.3606,0.22,0.6886,0.9798,,,,0.6182,,,,,False,True,True,True,False,False,,,,True,,,,
755402,rev,33,1438044,0.32231,0.9013,0.9003,0.7992,0.8017,0.7421,0.8866,,,0.8164,,,,,,0.817,0.6889,0.148,0.2293,0.4002,0.9806,,,0.3775,,,,,,False,False,True,True,True,False,,,True,,,,,
755409,rev,163,1355068,0.29296,0.8375,0.8438,0.8169,0.8094,0.8063,0.8915,,,0.8556,,,,,,0.4747,0.5006,0.3303,0.149,0.5468,0.9836,,,0.4295,,,,,,True,True,True,True,True,False,,,False,,,,,
755412,rev,419,1726196,0.39383,0.8095,0.7886,0.7197,0.6635,0.6835,0.8023,,,,,,0.7932,,,0.5664,0.3238,0.1642,0.0551,0.3595,0.9588,,,,,,0.3303,,,True,True,True,True,True,False,,,,,,True,,
755418,obv,241,1454267,0.33709,0.8799,0.8661,0.841,0.8207,0.794,0.8808,,,0.8987,,,,,,0.6407,0.53,0.3455,0.1809,0.5968,0.9787,,,0.6431,,,,,,False,False,True,True,True,False,,,False,,,,,
755422,rev,111,618639,0.02801,,,0.1219,0.0989,0.1111,0.328,,0.1453,,,,,,,,,0.1212,0.0526,0.1637,0.6169,,0.1994,,,,,,,,,True,True,True,True,,True,,,,,,
755422,rev,439,1572624,0.35726,0.7063,0.7185,0.6473,0.6975,0.6377,0.7542,,,,,0.772,,,,0.7068,0.6587,0.1813,0.1904,0.5383,0.9531,,,,,0.5835,,,,False,False,True,True,True,False,,,,,True,,,
