id,side,h,w,avg_bg,polarity,otsu_t,close_k,n_valid,n_need_recovery,n_will_hough,max_hough_roi_px,scan_wall_s,scan_cpu_s
755357,obv,1440,1500,96.0,BIN,134.0,7,1,0,0,0,0.158,0.246
755357,rev,1440,1500,96.0,BIN,132.0,7,1,0,0,0,0.269,0.34
755362,obv,1440,1500,29.53,BIN,135.0,7,15,15,15,762188,0.738,1.267
755362,rev,1440,1500,29.93,BIN,131.0,7,6,6,6,1487814,0.512,0.762
755363,obv,1440,1500,96.0,BIN,134.0,7,3,3,3,1381794,0.297,0.474
755363,rev,1440,1500,96.0,BIN,131.0,7,1,0,0,0,0.151,0.237
755365,obv,1440,1500,29.97,BIN,130.0,7,1,0,0,0,0.145,0.218
755365,rev,1440,1500,28.99,BIN,129.0,7,2,1,1,2992,0.441,0.529
755366,obv,1440,1500,96.0,BIN,132.0,7,6,6,6,1358388,1.334,1.558
755366,rev,1440,1500,33.53,BIN,133.0,7,2,1,1,11704,0.566,0.647
755368,obv,1440,1500,96.0,BIN,134.0,7,1,0,0,0,0.243,0.265
755368,rev,1440,1500,96.0,BIN,130.0,7,3,2,2,7760,0.497,0.623
755369,obv,1440,1500,31.12,BIN,131.0,7,3,3,3,1463700,0.449,0.677
755369,rev,1440,1500,30.36,BIN,129.0,7,4,4,4,1433994,0.701,0.952
755377,obv,1440,1500,96.0,BIN,132.0,7,6,5,5,1341837,0.639,0.918
755377,rev,1440,1500,96.0,BIN,133.0,7,4,4,4,1202448,2.201,2.438
755379,obv,1440,1500,31.75,BIN,133.0,7,1,0,0,0,0.113,0.193
755379,rev,1440,1500,31.49,BIN,133.0,7,1,0,0,0,0.163,0.249
755380,obv,1440,1500,31.03,BIN,135.0,7,20,19,19,1222536,1.378,2.268
755380,rev,1440,1500,29.74,BIN,135.0,7,1,0,0,0,0.12,0.193
755381,obv,1440,1500,96.0,BIN,137.0,7,1,0,0,0,0.146,0.23
755381,rev,1440,1500,96.0,BIN,134.0,7,1,1,1,1502115,0.324,0.428
755382,obv,1440,1500,32.14,BIN,131.0,7,1,0,0,0,0.116,0.185
755382,rev,1440,1500,96.0,BIN,135.0,7,1,0,0,0,0.121,0.202
755383,obv,1440,1500,96.0,BIN,133.0,7,8,8,8,1365302,1.803,2.096
755383,rev,1440,1500,96.0,BIN,135.0,7,1,0,0,0,0.143,0.219
755384,obv,1440,1500,96.0,BIN,136.0,7,4,3,3,6250,0.236,0.415
755384,rev,1440,1500,96.0,BIN,132.0,7,1,0,0,0,0.194,0.26
755385,obv,1440,1500,32.88,BIN,133.0,7,1,0,0,0,0.097,0.166
755385,rev,1440,1500,96.0,BIN,133.0,7,1,0,0,0,0.273,0.356
755387,obv,1440,1500,29.66,BIN,123.0,7,5,5,5,1406496,0.452,0.703
755387,rev,1440,1500,30.35,BIN,122.0,7,7,7,7,1498880,0.547,0.857
755391,obv,1440,1500,31.57,BIN,131.0,7,2,1,1,6006,0.148,0.251
755391,rev,1440,1500,96.0,BIN,134.0,7,1,0,0,0,0.13,0.198
755392,obv,1440,1500,30.18,BIN,130.0,7,7,6,6,831168,0.384,0.673
755392,rev,1440,1500,29.9,BIN,133.0,7,1,0,0,0,0.139,0.213
755393,obv,1440,1500,30.66,BIN,131.0,7,6,5,5,187068,0.411,0.64
755393,rev,1440,1500,31.65,BIN,128.0,7,1,0,0,0,0.137,0.223
755394,obv,1440,1500,96.0,BIN,138.0,7,6,6,6,1477927,0.511,0.801
755394,rev,1440,1500,96.0,BIN,137.0,7,1,0,0,0,0.205,0.274
755395,obv,1440,1500,29.8,BIN,133.0,7,3,3,3,1461357,0.267,0.453
755395,rev,1440,1500,96.0,BIN,135.0,7,2,1,1,1485,0.216,0.326
755396,obv,1440,1500,30.57,BIN,131.0,7,1,0,0,0,0.14,0.211
755396,rev,1440,1500,30.89,BIN,129.0,7,1,0,0,0,0.129,0.198
755397,obv,1440,1500,96.0,BIN,133.0,7,1,0,0,0,0.141,0.195
755397,rev,1440,1500,218.12,INV,131.0,7,1,0,0,0,0.138,0.168
755401,obv,1440,1500,29.51,BIN,123.0,7,12,12,12,1479222,0.78,1.248
755401,rev,1440,1500,28.39,BIN,123.0,7,2,1,1,63206,0.216,0.317
755402,obv,1440,1500,96.0,BIN,135.0,7,4,3,3,1405398,1.993,2.144
755402,rev,1440,1500,96.0,BIN,138.0,7,3,3,3,1438044,0.281,0.46
