id,side,polarity,avg_bg,backdrop_ring_mean,corner_path_trusted,contour_idx,mechanism,cost_tier,hole_frac,largest_hole_frac,n_holes,area_frac_frame,circularity,area_ratio,geo_conf,edge_support,enc_r,roi_px,touches_border,max_dip_run_deg,max_spike_run_deg,n_spike_runs,cv_r,solidity,roi_px_,deficit_frac_bglike,deficit_frac_darker,blob_mean,deficit_mean
leu3661,single,INV,215.71,201.17,False,14,multi_object_weld,cheap,0.149,0.0484,5,0.06064,0.3089,0.4284,0.4348,0.7614,207.8,153264,False,77.0,77.0,2,0.5215,0.7962,153264,0.2979,0.6745,150.123,188.2908
leu3661,single,INV,215.71,201.17,False,18,attached_artifact,expensive,0.1976,0.0457,18,0.29517,0.0989,0.5603,0.5063,0.829,401.0,641597,False,14.0,29.0,6,0.195,0.7294,641597,0.3043,0.6339,149.4543,186.6148
leu3717,single,INV,221.58,198.55,False,2,multi_object_weld,expensive,0.0931,0.0187,10,0.30233,0.1068,0.3819,0.48,0.7375,491.5,674934,False,62.0,27.0,4,0.2256,0.6534,674934,0.2829,0.6409,143.6361,188.7052
leu3717,single,INV,221.58,198.55,False,8,multi_object_weld,cheap,0.1393,0.0223,6,0.06007,0.2694,0.4212,0.442,0.7714,208.6,166860,False,74.0,52.0,2,0.3992,0.715,166860,0.5146,0.4169,167.6437,205.6016
leu3717,single,INV,221.58,198.55,False,9,unclassified_ragged,cheap,0.2438,0.0857,3,0.01689,0.5618,0.761,0.5407,0.754,82.3,35520,False,48.0,13.0,6,0.153,0.8783,35520,0.3077,0.4317,186.489,216.5228
leu3717,single,INV,221.58,198.55,False,10,multi_object_weld,cheap,0.0193,0.0,0,0.0984,0.2392,0.2143,0.3696,0.7439,374.4,254082,True,86.0,74.0,2,0.9922,0.7434,254082,0.1302,0.8511,121.0445,174.77
leu3736,single,INV,225.0,232.51,True,0,multi_object_weld,cheap,0.0,0.0,0,0.10172,0.4504,0.4989,0.4111,0.7126,249.5,220020,False,80.0,64.0,2,0.4315,0.8386,220020,0.4101,0.5318,84.3104,188.0506
leu3736,single,INV,225.0,232.51,True,1,multi_object_weld,cheap,0.0,0.0,0,0.08962,0.4533,0.4543,0.4182,0.9402,245.4,203700,False,76.0,76.0,2,0.4784,0.8454,203700,0.2251,0.3037,94.3838,208.6336
leu3736,single,INV,225.0,232.51,True,2,multi_object_weld,cheap,0.0155,0.0089,1,0.22462,0.3282,0.4728,0.4395,0.7369,380.8,509792,False,70.0,50.0,2,0.2664,0.7783,509792,0.2323,0.4081,128.2004,193.8947
leu582,single,INV,255.0,247.92,True,2,sub_coin_noise_blob,cheap,0.0,0.0,0,0.00243,0.1384,0.1185,0.373,0.9934,65.1,14420,False,69.0,99.0,4,1.6527,0.4309,14420,0.3966,0.5991,170.4735,191.5929
leu582,single,INV,255.0,247.92,True,4,unclassified_ragged,cheap,0.1526,0.0404,10,0.31971,0.4556,0.7642,0.5699,0.9325,293.9,355200,False,6.0,3.0,1,0.0786,0.934,355200,0.595,0.4024,93.842,213.8791
leu713,single,INV,255.0,247.39,True,6,low_contrast_coastline,cheap,0.1276,0.0085,21,0.35815,0.6467,0.8436,0.59,0.9984,299.9,362400,False,9.0,0.0,0,0.0599,0.9681,362400,0.7505,0.2458,105.2805,238.3601
leu995,single,INV,255.0,252.57,True,3,non_circular_flan,cheap,0.1135,0.0347,11,0.33134,0.4981,0.7629,0.541,0.9943,294.7,351000,False,0.0,15.0,3,0.0813,0.9719,351000,0.8187,0.18,117.4771,235.9956
