house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,0.0042.kernel,0.0042.status,0.0042.ndets,0.0042.bboxes,0.0042.hough,0.0042.tcr_triggered,0.0042.tcr_status,0.0042.blobs_post_close,0.0042.gap_post_close,0.0042.seconds,auto.bbox_identical,auto.ndets_delta,0.0042.bbox_identical,0.0042.ndets_delta,control.weld,auto.weld,0.0042.weld
leu,75,686743,1,1200,545,5,5,13.0,13.0,0.482|0.138,7,success,2,"7,8,583,529;633,4,538,538",0,0,,2,11.0,7.3979,3,success,2,"634,5,538,538;51,21,509,509",0,0,,4,13.0,12.5207,5,success,2,"7,8,582,529;601,13,592,522",0,0,,2,13.0,0.0391,0,0,0,0,0,0,0
leu,75,686761,19,1110,600,4,4,17.12,17.72,0.101|0.052,7,success,2,"13,17,539,563;568,20,529,568",0,0,,2,17.72,7.765,3,success,2,"13,42,539,538;568,20,529,568",0,0,,4,17.72,15.5392,5,success,3,"568,20,529,568;42,77,502,501;212,17,202,88",0,0,,3,17.72,16.1503,0,0,0,1,0,0,0
leu,75,686780,38,1193,600,2,2,33.0,32.39,0.32|0.205,7,success,2,"608,38,557,532;28,28,549,542",0,0,,2,32.39,0.0457,3,success,2,"608,38,557,532;28,28,549,542",0,0,,2,32.39,0.0584,5,success,2,"608,38,557,532;28,28,549,542",0,0,,2,32.39,0.043,1,0,1,0,0,0,0
leu,75,686799,57,1200,572,3,3,13.93,13.04,0.706|0.083,7,success,2,"8,15,586,549;603,15,589,545",0,0,,2,13.04,0.0285,3,success,2,"8,15,586,549;632,43,521,521",0,0,,2,13.04,6.8114,5,success,2,"8,15,586,549;603,17,589,543",0,0,,2,13.04,0.0551,0,0,0,0,0,0,0
leu,75,686818,76,1159,600,2,2,18.0,17.0,0.604|0.593,7,success,2,"10,38,588,531;612,15,537,575",0,0,,2,17.0,0.0378,3,success,2,"10,38,588,531;612,24,537,566",0,0,,2,17.0,0.0361,5,success,2,"10,38,588,531;612,24,537,566",0,0,,2,17.0,0.0318,0,0,0,0,0,0,0
leu,75,686836,94,1200,594,6,3,12.0,12.0,0.106|0.112,7,success,2,"0,0,587,594;591,0,609,594",1,1,split,1,,37.8825,3,success,2,"9,22,586,557;606,27,584,558",0,0,,2,12.0,0.074,5,success,2,"606,27,584,558;9,22,586,557",0,0,,2,12.0,0.0616,0,0,0,0,0,0,0
leu,75,686855,113,1200,595,2,2,13.0,14.0,0.625|0.476,7,success,2,"606,14,584,572;11,21,582,558",0,0,,2,14.0,0.0364,3,success,2,"606,14,584,572;11,21,582,558",0,0,,2,14.0,0.0438,5,success,2,"606,14,584,572;11,21,582,558",0,0,,2,14.0,0.0395,1,0,1,0,0,0,0
leu,75,686874,132,1200,583,2,2,10.0,10.0,0.438|0.554,7,success,2,"0,0,616,583;587,0,613,583",1,1,split,1,,42.6295,3,success,2,"604,13,591,561;6,9,591,567",0,0,,2,10.0,0.0403,5,success,2,"604,13,591,561;6,9,591,567",0,0,,2,10.0,0.0413,0,0,0,0,1,0,0
leu,75,686893,151,1177,600,3,4,9.0,9.0,0.592|0.146,7,success,2,"0,15,577,585;565,0,612,600",1,1,split,1,,50.3606,3,success,2,"588,8,583,586;18,19,563,563",0,0,,2,9.0,10.042,5,success,2,"585,8,586,586;6,21,577,566",0,0,,2,3.0,0.0366,0,0,0,0,0,0,0
leu,75,686911,169,1168,600,6,5,9.22,10.0,0.764|0.018,7,success,2,"0,1,555,588;554,0,614,600",1,1,split,1,,43.3941,3,success,2,"6,17,569,567;583,7,579,587",0,0,,2,10.0,0.0357,5,success,2,"583,6,579,588;6,17,569,567",0,0,,2,10.0,0.0246,0,0,0,0,0,0,0
leu,75,686930,188,1200,579,3,2,12.17,12.65,0.439|0.143,7,success,2,"0,0,617,579;600,0,600,579",1,1,split,1,,41.4998,3,success,2,"607,25,584,545;26,15,537,537",0,0,,2,12.65,7.4361,5,success,2,"607,25,584,545;9,24,587,541",0,0,,2,12.65,0.0964,0,0,0,0,1,0,0
