house,sale_id,lot_id,lot_number,w,h,outcome_changed,binary_iou,alpha_iou,control.ndets,control.hough,control.blobs_post_close,control.bboxes,control.sliver_pairs,control.sliver_contour_px,control.sliver_contour_frac,control.sliver_circle_px,control.sliver_circle_frac,auto.ndets,auto.hough,auto.blobs_post_close,auto.bboxes,auto.sliver_pairs,auto.sliver_contour_px,auto.sliver_contour_frac,auto.sliver_circle_px,auto.sliver_circle_frac
leu,75,686743,1,1200,545,1,0.93094,0.92672,2,0,2,"7,8,583,529;633,4,538,538",2,0,0.0,0,0.0,2,0,2,"7,8,582,529;601,13,592,522",2,0,0.0,0,0.0
leu,75,686761,19,1110,600,1,0.93453,0.92153,2,0,2,"13,17,539,563;568,20,529,568",2,0,0.0,3344,0.01526,3,0,3,"568,20,529,568;42,77,502,501;212,17,202,88",6,0,0.0,15147,0.07677
leu,75,686780,38,1193,600,0,0.9513,0.99599,2,0,2,"608,38,557,532;28,28,549,542",2,0,0.0,0,0.0,2,0,2,"608,38,557,532;28,28,549,542",2,0,0.0,0,0.0
leu,75,686799,57,1200,572,1,0.93208,0.98613,2,0,2,"8,15,586,549;603,15,589,545",2,0,0.0,0,0.0,2,0,2,"8,15,586,549;603,17,589,543",2,0,0.0,0,0.0
leu,75,686818,76,1159,600,1,0.9352,0.99903,2,0,2,"10,38,588,531;612,15,537,575",2,0,0.0,1434,0.00607,2,0,2,"10,38,588,531;612,24,537,566",2,0,0.0,1419,0.00601
leu,75,686836,94,1200,594,1,0.92601,0.89764,2,1,1,"0,0,587,594;591,0,609,594",2,0,0.0,0,0.0,2,0,2,"606,27,584,558;9,22,586,557",2,0,0.0,0,0.0
leu,75,686855,113,1200,595,0,0.92148,0.99861,2,0,2,"606,14,584,572;11,21,582,558",2,0,0.0,0,0.0,2,0,2,"606,14,584,572;11,21,582,558",2,0,0.0,0,0.0
leu,75,686874,132,1200,583,1,0.94028,0.91986,2,1,1,"0,0,616,583;587,0,613,583",2,0,0.0,0,0.0,2,0,2,"604,13,591,561;6,9,591,567",2,0,0.0,0,0.0
leu,75,686893,151,1177,600,1,0.92831,0.8688,2,1,1,"0,15,577,585;565,0,612,600",2,0,0.0,0,0.0,2,0,2,"585,8,586,586;6,21,577,566",2,1,0.0,360,0.00143
leu,75,686911,169,1168,600,1,0.92404,0.86924,2,1,1,"0,1,555,588;554,0,614,600",2,0,0.0,0,0.0,2,0,2,"583,6,579,588;6,17,569,567",2,0,0.0,66,0.00026
leu,75,686930,188,1200,579,1,0.93627,0.86797,2,1,1,"0,0,617,579;600,0,600,579",2,0,0.0,0,0.0,2,0,2,"607,25,584,545;9,24,587,541",2,0,0.0,267,0.0011
leu,75,686949,207,1200,544,0,0.94597,0.99828,2,0,2,"604,22,586,511;11,14,580,517",2,0,0.0,44,0.00019,2,0,2,"604,22,586,511;11,14,580,517",2,0,0.0,44,0.00019
leu,75,686968,226,1200,592,1,0.94851,0.89616,2,1,1,"0,0,578,592;604,0,596,592",2,0,0.0,0,0.0,2,0,2,"607,17,584,566;10,18,585,562",2,0,0.0,0,0.0
leu,75,686986,244,1200,596,0,0.92841,0.9939,2,0,2,"9,11,581,575;602,21,589,555",2,0,0.0,0,0.0,2,0,2,"9,11,581,575;602,21,589,555",2,0,0.0,0,0.0
leu,75,687005,263,1200,597,1,0.93639,0.87264,2,1,1,"0,0,602,597;571,0,616,587",2,0,0.0,0,0.0,2,0,2,"598,13,595,577;8,9,581,578",2,0,0.0,0,0.0
leu,75,687024,282,1200,593,1,0.9384,0.84344,2,1,1,"0,0,565,569;592,0,608,593",2,0,0.0,0,0.0,2,0,2,"606,12,587,574;8,20,589,555",2,0,0.0,28,0.00011
leu,75,687043,301,1200,589,1,0.95539,0.93465,2,1,1,"0,0,605,589;577,0,623,589",2,0,0.0,0,0.0,2,0,2,"608,8,585,574;8,17,591,556",2,0,0.0,0,0.0
leu,75,687061,319,1200,584,1,0.95484,0.89392,2,1,1,"0,0,614,584;602,0,598,580",2,0,0.0,0,0.0,2,0,2,"603,12,590,566;7,12,588,560",2,0,0.0,0,0.0
leu,75,687080,338,1200,579,1,0.94877,0.87739,2,1,1,"0,0,575,579;615,0,585,579",2,0,0.0,0,0.0,2,0,2,"601,9,592,563;9,15,583,548",2,0,0.0,0,0.0
leu,75,687099,357,1187,600,1,0.92866,0.90818,2,1,1,"0,0,625,600;577,0,610,600",2,0,0.0,0,0.0,2,0,2,"590,20,590,574;8,21,581,565",2,4,2e-05,148,0.00056
leu,75,687118,376,1196,600,1,0.94589,0.90864,2,1,1,"0,0,601,600;588,0,608,600",2,0,0.0,0,0.0,2,0,2,"8,12,589,575;606,9,583,584",2,0,0.0,0,0.0
leu,75,687136,394,1200,588,0,0.93699,1.0,2,1,1,"0,0,586,588;576,0,624,588",2,0,0.0,0,0.0,2,1,1,"0,0,586,588;576,0,624,588",2,0,0.0,0,0.0
leu,75,687155,413,1200,562,0,0.92532,1.0,2,1,1,"1,0,586,562;634,0,566,562",2,0,0.0,0,0.0,2,1,1,"1,0,586,562;634,0,566,562",2,0,0.0,0,0.0
leu,75,687174,432,1197,600,0,0.94504,0.99692,2,0,2,"13,24,585,558;612,15,570,572",2,0,0.0,0,0.0,2,0,2,"13,24,585,558;612,15,570,572",2,0,0.0,0,0.0
leu,75,687193,451,1116,600,1,0.92354,0.99406,2,0,2,"9,12,546,580;566,12,541,579",2,0,0.0,2269,0.00925,2,0,2,"9,12,546,580;566,13,541,578",2,0,0.0,2269,0.00933
leu,75,687212,470,1198,600,1,0.93947,0.99149,2,0,2,"8,32,591,538;615,17,572,575",2,0,0.0,9,4e-05,2,0,2,"615,17,572,575;8,32,591,538",2,0,0.0,0,0.0
leu,75,687230,488,1200,600,0,0.92533,0.99793,2,0,2,"9,10,581,582;600,31,593,554",2,0,0.0,649,0.00254,2,0,2,"9,10,581,582;600,31,593,554",2,0,0.0,649,0.00254
leu,75,687249,507,1200,597,0,0.95405,0.99893,2,0,2,"15,21,594,556;627,24,558,557",2,0,0.0,286,0.00114,2,0,2,"15,21,594,556;627,24,558,557",2,0,0.0,286,0.00114
leu,75,687268,526,1186,600,1,0.91962,0.80918,2,1,1,"0,0,578,569;607,0,579,596",2,0,0.0,0,0.0,2,0,2,"9,22,578,570;598,25,580,553",2,0,0.0,92,0.00036
leu,75,687287,545,1200,590,0,0.93948,0.99739,2,0,2,"605,11,586,569;10,13,581,564",2,0,0.0,0,0.0,2,0,2,"605,11,586,569;10,13,581,564",2,0,0.0,0,0.0
leu,75,687305,563,1200,467,1,0.93494,0.98914,1,0,1,"12,13,1178,444",0,,,,,2,0,2,"606,13,584,444;12,19,582,435",2,0,0.0,0,0.0
leu,75,687324,582,1081,600,1,0.9559,0.99567,2,0,3,"10,10,523,580;521,35,524,523",2,1352,0.00625,10977,0.05104,2,0,3,"10,10,523,580;521,36,521,522",2,1436,0.00669,11120,0.05205
leu,75,687343,601,1182,600,1,0.94236,0.90373,2,1,1,"3,0,618,598;571,0,611,600",2,0,0.0,0,0.0,2,0,2,"596,7,580,586;7,14,581,572",2,0,0.0,520,0.00199
leu,75,687362,620,1182,600,0,0.96061,0.99549,2,0,2,"19,17,555,564;603,27,551,535",2,0,0.0,0,0.0,2,0,2,"19,17,555,564;603,27,551,535",2,0,0.0,0,0.0
leu,75,687380,638,1142,600,0,0.9342,0.99629,2,0,2,"588,28,540,549;14,15,557,571",2,0,0.0,301,0.0013,2,0,2,"588,28,540,549;14,15,557,571",2,0,0.0,301,0.0013
leu,75,687399,657,1134,600,1,0.95102,0.88874,2,1,1,"0,5,575,595;557,14,577,586",2,0,0.0,0,0.0,2,0,2,"573,12,550,580;9,21,553,570",2,0,0.0,1002,0.00412
leu,75,687418,676,1200,587,1,0.94772,0.95544,2,0,2,"15,23,582,549;613,31,571,538",2,0,0.0,81,0.00034,2,0,2,"15,23,582,549;625,27,545,545",2,0,0.0,0,0.0
leu,75,687437,695,1200,581,0,0.97675,0.99929,2,0,2,"599,14,590,556;11,12,575,558",2,0,0.0,0,0.0,2,0,2,"599,14,590,556;11,12,575,558",2,0,0.0,0,0.0
leu,75,687455,713,1109,600,1,0.94683,0.97144,2,0,2,"564,10,535,577;15,37,551,551",2,223,0.00094,6246,0.0262,2,0,2,"564,10,535,577;30,51,537,537",2,273,0.0012,6379,0.02809
