house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,auto.bbox_identical,auto.ndets_delta,control.weld,auto.weld
cng_feature,Auction 91,736310,215268,500,238,2,2,7.0,7.0,0.868|0.872,7,success,2,"0,0,239,238;259,0,241,238",1,1,split,1,,3.3674,3,success,2,"252,0,248,238;0,0,247,234",0,0,,2,7.0,0.0112,0,0,1,0
cng_feature,Auction 91,736320,215274,500,249,2,2,8.25,8.0,0.881|0.828,7,success,2,"0,0,250,245;236,0,262,245",1,1,split,1,,4.0342,3,success,2,"254,0,246,249;0,1,247,248",0,0,,2,8.0,0.0076,0,0,1,0
cng_feature,Auction 91,736331,215280,500,241,2,2,8.0,6.0,0.884|0.858,7,success,2,"0,0,242,241;243,0,252,240",1,1,split,1,,3.962,3,success,2,"0,0,245,241;250,0,250,241",0,0,,2,6.0,0.0082,0,0,1,0
cng_feature,Auction 91,736342,215286,500,243,2,2,9.0,9.06,0.86|0.892,7,success,2,"2,0,248,237;249,0,251,243",1,1,split,1,,3.5985,3,success,2,"0,3,246,240;254,3,246,237",0,0,,2,9.06,0.0131,0,0,1,0
cng_feature,Auction 91,736353,215292,500,237,2,2,8.0,6.0,0.868|0.877,7,success,2,"0,0,236,237;250,0,250,237",1,1,split,1,,3.9143,3,success,2,"251,0,249,237;0,3,246,234",0,0,,2,6.0,0.0065,0,0,1,0
cng_feature,Auction 91,736364,215298,500,290,2,2,7.0,7.0,0.415|0.246,7,success,2,"0,0,256,265;235,0,265,282",1,1,split,1,,5.2981,3,success,2,"247,12,266,267;0,18,259,259",0,0,,2,7.62,0.4462,0,0,1,0
cng_feature,Auction 91,736375,215304,500,238,2,2,7.0,7.0,0.851|0.828,7,success,2,"4,5,220,220;249,11,232,227",1,1,split,1,,3.8033,3,success,2,"254,0,246,238;0,0,248,238",0,0,,2,7.0,0.0074,0,0,1,0
cng_feature,Auction 91,736388,215311,500,248,2,2,11.0,11.0,0.861|0.779,7,success,2,"0,0,251,248;235,0,265,248",1,1,split,1,,4.1585,3,success,2,"0,0,244,248;253,6,247,238",0,0,,2,11.0,0.0103,0,0,1,0
cng_feature,Auction 91,736399,215317,500,243,2,2,8.0,7.0,0.837|0.801,7,success,2,"0,0,235,243;261,0,239,243",1,1,split,1,,3.9118,3,success,2,"0,0,241,243;247,10,253,223",0,0,,2,7.0,0.0096,0,0,1,0
cng_feature,Auction 91,736409,215323,500,245,2,2,6.0,8.25,0.891|0.865,7,success,2,"0,0,250,245;254,1,246,244",1,1,split,1,,3.8176,3,success,2,"256,0,244,245;0,3,249,238",0,0,,2,8.25,0.0081,0,0,1,0
