house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,auto.bbox_identical,auto.ndets_delta,control.weld,auto.weld
kuenker,428,735740,1001,1889,1037,4,5,25.0,24.08,0.678|0.376,7,success,3,"957,97,932,933;7,98,927,931;899,-1,89,88",0,0,,3,24.0,0.1831,7,success,3,"957,97,932,933;7,98,927,931;899,-1,89,88",0,0,,3,24.0,0.151,1,0,0,0
kuenker,428,735745,1006,2000,675,5,5,712.0,711.12,0.574|0.258,7,success,4,"1350,39,650,636;0,38,644,637;661,179,676,347;945,0,109,89",0,0,,4,707.0,0.0926,7,success,4,"1350,39,650,636;0,38,644,637;661,179,676,347;945,0,109,89",0,0,,4,707.0,0.1181,1,0,0,0
kuenker,428,735751,1012,2000,1076,8,6,43.93,44.01,0.209|0.569,7,success,3,"7,89,979,977;1013,88,978,981;943,0,111,91",0,0,,3,28.0,0.216,7,success,3,"7,89,979,977;1013,88,978,981;943,0,111,91",0,0,,3,28.0,0.2428,1,0,0,0
kuenker,428,735757,1018,2000,1058,4,4,17.0,17.12,0.586|0.476,7,success,3,"1009,66,991,981;3,66,990,982;954,-1,91,90",0,0,,3,17.12,0.177,7,success,3,"1009,66,991,981;3,66,990,982;954,-1,91,90",0,0,,3,17.12,0.1752,1,0,0,0
kuenker,428,735763,1024,1389,791,4,7,25.0,26.17,0.216|0.221,7,success,3,"8,97,657,687;690,110,692,660;660,-2,67,66",0,0,,3,26.0,0.1077,7,success,3,"8,97,657,687;690,110,692,660;660,-2,67,66",0,0,,3,26.0,0.1045,1,0,0,0
kuenker,428,735769,1030,2000,547,6,6,496.0,495.0,0.819|0.746,7,success,2,"0,49,1499,498;1512,62,488,469",0,0,,3,14.0,40.6711,7,success,2,"0,49,1499,498;1512,62,488,469",0,0,,3,14.0,38.3393,1,0,0,0
kuenker,428,735774,1035,2000,1064,6,5,21.0,22.09,0.36|0.141,7,success,3,"1008,91,987,952;7,78,981,978;945,0,109,89",0,0,,3,22.09,0.1405,7,success,3,"1008,91,987,952;7,78,981,978;945,0,109,89",0,0,,3,22.09,0.1382,1,0,0,0
kuenker,428,735780,1041,2000,1062,6,4,20.0,20.22,0.726|0.257,7,success,3,"1007,74,993,981;0,74,988,978;953,-2,92,91",0,0,,3,20.22,0.1294,7,success,3,"1007,74,993,981;0,74,988,978;953,-2,92,91",0,0,,3,20.22,0.1215,1,0,0,0
kuenker,428,735786,1047,2000,1081,4,4,28.16,27.07,0.797|0.738,7,success,3,"1004,96,989,978;3,96,977,977;946,0,107,87",0,0,,3,27.07,0.1437,7,success,3,"1004,96,989,978;3,96,977,977;946,0,107,87",0,0,,3,27.07,0.1547,1,0,0,0
kuenker,428,735792,1053,1914,1043,4,4,25.0,25.08,0.851|0.853,7,success,3,"969,97,938,938;7,97,938,934;906,0,101,83",0,0,,3,25.08,0.1339,7,success,3,"969,97,938,938;7,97,938,934;906,0,101,83",0,0,,3,25.08,0.1498,1,0,0,0
kuenker,428,735798,1059,2000,1040,7,7,30.0,29.0,0.503|0.893,7,success,3,"1005,62,987,978;0,72,990,968;953,-2,93,92",0,0,,3,16.12,0.1579,7,success,3,"1005,62,987,978;0,72,990,968;953,-2,93,92",0,0,,3,16.12,0.1288,1,0,0,0
kuenker,428,735803,1064,1125,651,5,4,25.96,25.32,0.637|0.376,7,success,3,"573,97,546,549;7,99,542,543;532,-1,56,55",0,0,,3,25.32,0.0555,7,success,3,"573,97,546,549;7,99,542,543;532,-1,56,55",0,0,,3,25.32,0.0479,1,0,0,0
kuenker,428,735809,1070,2000,1052,7,5,59.24,60.17,0.383|0.418,7,success,3,"85,144,838,837;1093,139,821,821;952,-2,94,93",0,0,,3,51.97,138.7258,7,success,3,"85,144,838,837;1093,139,821,821;952,-2,94,93",0,0,,3,51.97,188.1464,1,0,0,0
kuenker,428,735815,1077,2000,1065,8,5,28.0,26.0,0.56|0.47,7,success,3,"0,74,990,991;1010,78,990,980;945,0,108,88",0,0,,3,22.8,0.298,7,success,3,"0,74,990,991;1010,78,990,980;945,0,108,88",0,0,,3,22.8,0.2393,1,0,0,0
kuenker,428,735821,1083,2000,1052,11,9,48.01,51.09,0.268|0.375,7,success,3,"1007,54,986,984;0,77,991,967;945,0,109,89",0,0,,3,17.0,0.2555,7,success,3,"1007,54,986,984;0,77,991,967;945,0,109,89",0,0,,3,17.0,0.2193,1,0,0,0
kuenker,428,735827,1089,2000,1077,6,4,27.17,23.35,0.345|0.428,7,success,3,"9,85,987,985;1018,86,975,982;954,-3,94,93",0,0,,3,23.35,0.358,7,success,3,"9,85,987,985;1018,86,975,982;954,-3,94,93",0,0,,3,23.35,0.367,1,0,0,0
